name,sex,RUID,date_of_birth,student_year,student_school,accessibility_need,low_income_status,preferred_hall_ids,preferred_residence_type,is_single_preferred,is_private_bathroom_preferred,laundry_availibility,preferred_price_range,max_price,roommate_preference
Eric Elliott,M,774628416,2001-01-29,Freshman,School of Engineering,0,0,['SA' 'BH' 'BS'],Suite,1,1,1,8000-11000,11000,"[806391957, 443063579, 746782835]"
Daniel Greer,M,293355513,2003-03-26,Junior,Rutgers Business School–Newark and New Brunswick,0,0,['MS' 'BS' 'RA'],Apartment,1,1,1,8000-11000,11000,"[702729403, 278750228, 572638379]"
Marissa Brennan,F,928732340,2000-04-09,Sophomore,School of Arts and Sciences,0,0,['RA' 'WS' 'CS'],Apartment,1,1,1,4000-6000,6000,[]
Catherine Martin,F,779597816,2004-10-02,Junior,School of Arts and Sciences,0,0,['SA' 'MS' 'RA'],Apartment,1,0,1,4000-6000,6000,"[523661092, 551773897, 420364008]"
Matthew Marshall,M,549650029,2003-01-24,Senior,School of Arts and Sciences,0,1,['BH' 'MZH' 'NCA'],Suite,1,1,1,6000-8000,7000,[]
Michael Baker,M,999212226,1999-10-02,Sophomore,Rutgers Business School–Newark and New Brunswick,0,0,['MRS' 'RA' 'MS'],Apartment,1,1,1,4000-6000,6000,"[203037474, 167576381, 612896127]"
Robert Baker,M,981059568,2004-01-10,Freshman,School of Communication and Information,0,0,['RA' 'MRS' 'BS'],Apartment,1,1,1,4000-6000,6000,"[825107403, 248439886, 381934757]"
Christopher King,M,229924235,2004-05-24,Junior,School of Environmental and Biological Sciences,0,0,['RA' 'BS' 'SA'],Apartment,1,1,1,4000-6000,6000,"[655928155, 679352695, 326286379]"
Amy Smith,F,646644550,2000-02-09,Junior,School of Arts and Sciences,0,0,['MRS' 'NCA' 'MS'],Suite,1,1,1,4000-6000,6000,"[225725182, 749525306, 822917539]"
Cody Rosales,M,538027371,2000-07-05,Freshman,School of Arts and Sciences,1,0,['TS' 'MRS' 'MH'],Apartment,1,1,1,8000-11000,11000,"[332311261, 602635341, 965682276]"
Morgan Henry,F,788987246,2001-04-17,Junior,School of Social Work,0,0,['MS' 'BS' 'NCA'],Apartment,1,1,1,8000-11000,11000,"[403802251, 547474330, 103425025]"
Mark Harvey,M,511483204,2004-03-25,Senior,Mason Gross School of the Arts,0,0,['BS' 'NCA' 'RA'],Suite,1,1,1,8000-11000,11000,"[115077824, 952012817, 242508104]"
Samantha Scott,F,619614389,2000-02-12,Senior,School of Arts and Sciences,0,1,['MH' 'BS' 'NCA'],Apartment,1,1,1,4000-6000,5000,[]
Sean Johnson,M,238576295,1999-11-11,Freshman,School of Communication and Information,0,1,['BS' 'MH' 'AH'],Suite,1,1,1,6000-8000,7000,"[937833970, 231356516, 781802369]"
Kevin Mitchell,M,265164923,2002-07-20,Senior,Rutgers Business School–Newark and New Brunswick,0,1,['CS' 'BS' 'MRS'],Traditional Residence Hall,1,1,1,6000-8000,7000,"[305752971, 412935964, 296393042]"
Michael Woodard,M,670473367,2000-11-07,Sophomore,School of Arts and Sciences,0,0,['TS' 'RA' 'BS'],Suite,1,1,1,4000-6000,6000,"[346377779, 238178033, 979597445]"
Jason Whitaker,M,633893936,2003-02-02,Sophomore,School of Arts and Sciences,0,1,['MH' 'TS' 'BS'],Suite,1,1,1,6000-8000,7000,[]
Tim Phillips,M,609363049,2001-10-29,Freshman,School of Arts and Sciences,0,0,['NCA' 'CS' 'AH'],Suite,1,0,1,8000-11000,11000,[]
Jill Freeman,F,928457260,2001-05-28,Senior,Mason Gross School of the Arts,0,1,['MZH' 'NCA' 'MS'],Suite,1,0,1,4000-6000,5000,"[984849639, 943074473, 166339999]"
Vanessa Snyder,F,894970631,2001-03-23,Sophomore,School of Arts and Sciences,0,0,['MRS' 'BS' 'WS'],Apartment,1,1,1,4000-6000,6000,"[311694523, 217056856, 944407246]"
Karen York,F,204435785,2001-11-09,Sophomore,School of Communication and Information,0,1,['BS' 'TS' 'JS'],Traditional Residence Hall,1,0,1,8000-11000,10000,"[150960031, 293734983, 521356413]"
Ashley Gould,F,546739777,2005-01-20,Freshman,Mason Gross School of the Arts,0,0,['CS' 'SA' 'MS'],Apartment,1,1,1,8000-11000,11000,[]
Bobby Dixon,M,835139106,2002-09-26,Sophomore,School of Communication and Information,0,1,['MS' 'SA' 'NCA'],Apartment,1,1,1,4000-6000,5000,"[906484178, 532981647, 702211338]"
Nicholas Rose,M,523521904,2001-11-25,Sophomore,School of Communication and Information,0,0,['RA' 'NCA' 'BS'],Suite,1,1,0,6000-8000,8000,[]
James Stevens,M,947191554,2002-04-20,Sophomore,School of Arts and Sciences,0,0,['BS' 'WS' 'NCA'],Suite,1,0,1,4000-6000,6000,"[939702520, 767319838, 644399441]"
Lisa Green,F,706367278,2004-04-24,Junior,Rutgers Business School–Newark and New Brunswick,0,0,['NCA' 'BS' 'MH'],Traditional Residence Hall,1,0,1,4000-6000,6000,"[907918686, 901056637, 950933702]"
Adam Hughes,M,302933532,2000-10-04,Freshman,Edward J. Bloustein School of Planning and Public Policy,0,1,['BH' 'BS' 'RA'],Apartment,1,0,1,4000-6000,5000,"[693031833, 884191153, 873398741]"
Jennifer Chen,F,194667088,2002-08-16,Sophomore,School of Environmental and Biological Sciences,0,0,['SA' 'BS' 'MH'],Apartment,1,1,1,4000-6000,6000,"[619513046, 258550034, 178111210]"
Susan Gray,F,530037591,2001-05-09,Freshman,Edward J. Bloustein School of Planning and Public Policy,0,1,['RA' 'SA' 'BS'],Suite,1,1,1,6000-8000,7000,"[391495948, 181178290, 588381278]"
Jerome White,M,415880640,2003-03-22,Junior,School of Arts and Sciences,0,0,['SA' 'RA' 'MH'],Traditional Residence Hall,1,1,1,4000-6000,6000,"[117995956, 211882304, 905261183]"
Laura Vaughn,F,147415882,2003-02-04,Sophomore,Edward J. Bloustein School of Planning and Public Policy,0,0,['NCA' 'SA' 'RA'],Suite,1,1,0,6000-8000,8000,[]
Jennifer Thomas,F,810295245,2002-11-23,Freshman,School of Arts and Sciences,0,0,['RA' 'SA' 'BS'],Suite,1,1,0,4000-6000,6000,"[850396293, 435064277, 570859907]"
Jason Adams,M,890168514,2005-06-22,Freshman,Mason Gross School of the Arts,0,0,['MZH' 'BS' 'CS'],Suite,1,1,1,8000-11000,11000,"[190931263, 375341572, 293089032]"
Cassandra Thornton,F,517166852,2004-01-21,Freshman,School of Arts and Sciences,0,0,['SA' 'MH' 'JS'],Apartment,1,1,1,8000-11000,11000,"[663967041, 738494080, 189993973]"
Emma Deleon,F,785880186,2004-11-08,Freshman,School of Engineering,0,0,['NCA' 'MH' 'TS'],Suite,1,1,1,4000-6000,6000,"[115763960, 461172311, 847655871]"
Renee Kelley,F,932937694,2000-11-16,Freshman,School of Arts and Sciences,0,1,['JS' 'NCA' 'MS'],Traditional Residence Hall,1,1,1,8000-11000,10000,"[737953104, 670170281, 290821297]"
Michelle Reynolds,F,137486297,2000-10-22,Junior,School of Arts and Sciences,0,1,['RA' 'CS' 'MRS'],Suite,1,1,1,4000-6000,5000,"[338479201, 698239926, 764201347]"
Kimberly Taylor,F,761557848,1999-10-05,Freshman,School of Arts and Sciences,0,0,['SA' 'WS' 'BS'],Apartment,1,1,1,8000-11000,11000,[]
Eric Orr,M,252782934,2004-10-04,Junior,School of Communication and Information,0,0,['WS' 'MS' 'BH'],Suite,1,1,1,6000-8000,8000,"[644354093, 132239059, 434667639]"
Crystal Mendez,F,142023774,2001-05-27,Junior,School of Social Work,0,0,['BS' 'MS' 'MRS'],Apartment,1,1,1,8000-11000,11000,[]
Steven Steele,M,108297821,2002-12-28,Freshman,School of Engineering,0,0,['RA' 'NCA' 'MS'],Suite,1,1,1,4000-6000,6000,"[141325295, 967519791, 408607149]"
Tara Walker,F,845352396,2003-12-10,Freshman,School of Communication and Information,0,0,['BS' 'MS' 'AH'],Suite,1,0,1,8000-11000,11000,"[285978843, 120458793, 135732073]"
Megan Davis,F,858392846,2002-09-07,Sophomore,School of Communication and Information,0,1,['SA' 'MZH' 'BS'],Traditional Residence Hall,1,0,1,6000-8000,7000,"[721856265, 261353510, 701350192]"
Leslie Garcia,F,950933702,2002-06-02,Junior,Edward J. Bloustein School of Planning and Public Policy,0,0,['RA' 'WS' 'BS'],Apartment,1,1,1,4000-6000,6000,"[120458793, 270638944, 343743884]"
Catherine Morton,F,892187013,2002-09-11,Sophomore,Edward J. Bloustein School of Planning and Public Policy,0,0,['SA' 'RA' 'AH'],Suite,1,1,1,8000-11000,11000,"[902175155, 726154870, 164566197]"
Jessica Miller,F,931232904,2000-04-02,Freshman,Mason Gross School of the Arts,0,0,['TS' 'BS' 'BH'],Traditional Residence Hall,1,1,1,4000-6000,6000,[]
Gabriel Lewis,M,338955333,2002-02-02,Junior,School of Arts and Sciences,0,1,['MZH' 'BH' 'BS'],Traditional Residence Hall,1,1,1,8000-11000,10000,"[619035280, 532929264, 244800554]"
Mason Diaz,M,329023350,2005-05-09,Junior,Edward J. Bloustein School of Planning and Public Policy,0,0,['RA' 'MS' 'BS'],Apartment,1,1,1,4000-6000,6000,[]
Victoria Oconnor,F,573360167,2002-05-07,Freshman,Rutgers Business School–Newark and New Brunswick,0,0,['MS' 'SA' 'MZH'],Apartment,1,1,1,8000-11000,11000,[]
Kim Smith,F,339367656,2001-02-26,Sophomore,School of Communication and Information,0,1,['JS' 'MS' 'WS'],Suite,1,1,1,8000-11000,10000,[]
Beth Marsh,F,252412096,2004-06-29,Senior,School of Communication and Information,0,1,['TS' 'RA' 'BS'],Suite,1,1,1,4000-6000,5000,"[122992224, 902175155, 781529895]"
Kevin Knox,M,760436837,2002-01-20,Freshman,Rutgers Business School–Newark and New Brunswick,0,0,['CS' 'JS' 'NCA'],Suite,1,1,1,4000-6000,6000,"[225960504, 976017608, 479384708]"
Joanna Garrett,F,367861431,2003-09-18,Freshman,School of Arts and Sciences,0,1,['MS' 'BS' 'RA'],Apartment,1,1,1,4000-6000,5000,"[377820225, 804332417, 277446435]"
Joseph Dudley,M,452082377,2000-11-28,Senior,Rutgers Business School–Newark and New Brunswick,0,1,['WS' 'BS' 'MH'],Traditional Residence Hall,1,1,1,4000-6000,5000,[]
Linda Fuentes,F,145895531,2002-05-12,Sophomore,School of Arts and Sciences,0,0,['JS' 'BS' 'SA'],Apartment,1,1,1,8000-11000,11000,[]
Jonathan Hicks,M,938169661,2001-05-19,Freshman,School of Arts and Sciences,0,0,['SA' 'RA' 'NCA'],Suite,1,1,1,4000-6000,6000,"[988149090, 996234065, 587688031]"
Allison Acosta,F,378319281,2000-05-27,Freshman,School of Arts and Sciences,0,0,['RA' 'CS' 'JS'],Suite,1,1,1,8000-11000,11000,[]
Michele Zavala,F,829128087,2001-09-20,Freshman,Rutgers Business School–Newark and New Brunswick,0,0,['NCA' 'TS' 'MS'],Suite,1,1,0,4000-6000,6000,"[715707946, 179083975, 738008675]"
Mary Russell,F,766583020,2003-12-05,Sophomore,School of Social Work,0,0,['RA' 'JS' 'MH'],Suite,1,1,1,6000-8000,8000,[]
Erin Boyle,F,735797636,2004-10-01,Sophomore,School of Environmental and Biological Sciences,0,1,['MRS' 'BH' 'MH'],Traditional Residence Hall,1,0,0,8000-11000,10000,"[526044634, 324523703, 157745522]"
Frank May,M,556090966,2003-02-23,Freshman,Rutgers Business School–Newark and New Brunswick,0,0,['RA' 'SA' 'BS'],Apartment,1,1,1,4000-6000,6000,"[393202890, 973622461, 266949205]"
Kenneth Hudson,M,490876019,2002-11-10,Sophomore,School of Environmental and Biological Sciences,0,0,['MZH' 'SA' 'BS'],Traditional Residence Hall,1,1,1,4000-6000,6000,[]
Jacqueline Gallegos,F,130686171,2002-09-24,Freshman,Mason Gross School of the Arts,0,1,['BS' 'MZH' 'TS'],Suite,1,1,1,4000-6000,5000,[]
Mary Arias,F,525409677,2001-05-20,Sophomore,School of Engineering,0,0,['JS' 'MZH' 'SA'],Apartment,1,1,1,8000-11000,11000,"[607849808, 467235905, 789589767]"
Paul Mckee,M,397227667,2000-11-02,Sophomore,School of Arts and Sciences,1,0,['RA' 'NCA' 'BS'],Suite,1,1,1,6000-8000,8000,"[737360396, 750052909, 397231753]"
Alex Tran,M,746944233,2002-04-30,Senior,School of Social Work,0,0,['MS' 'BS' 'RA'],Traditional Residence Hall,1,0,0,8000-11000,11000,[]
Ernest Shah,M,234625030,2002-11-03,Freshman,Edward J. Bloustein School of Planning and Public Policy,0,0,['MH' 'CS' 'WS'],Suite,1,1,1,4000-6000,6000,"[263453601, 430060238, 353603438]"
Erik Montgomery,M,346108269,2001-09-11,Freshman,School of Management and Labor Relations,0,0,['RA' 'AH' 'BS'],Apartment,1,1,1,6000-8000,8000,"[727259573, 643441189, 242075035]"
Taylor Burgess,F,693031833,2002-12-19,Freshman,School of Communication and Information,0,0,['BS' 'AH' 'MRS'],Suite,1,1,1,4000-6000,6000,"[134960754, 743738370, 676782617]"
Erin Ward,F,653203549,2003-03-23,Freshman,School of Arts and Sciences,0,0,['BS' 'MZH' 'SA'],Apartment,1,1,1,4000-6000,6000,"[383646026, 201226877, 771039846]"
Robert Bauer,M,590378519,2002-04-25,Freshman,School of Communication and Information,0,0,['BS' 'NCA' 'RA'],Suite,1,1,1,4000-6000,6000,"[889720474, 153378161, 850209877]"
Carmen Riley,F,403891904,2003-12-19,Sophomore,Rutgers Business School–Newark and New Brunswick,0,0,['NCA' 'BS' 'MH'],Apartment,1,0,1,6000-8000,8000,"[671968304, 788140122, 360368727]"
Chelsea Middleton,F,139940928,2002-09-19,Junior,School of Engineering,0,1,['BS' 'SA' 'MS'],Apartment,1,1,1,4000-6000,5000,"[561011037, 719318842, 407460224]"
Jill Campbell,F,877489112,2001-06-27,Freshman,School of Communication and Information,0,0,['RA' 'BS' 'TS'],Apartment,1,1,1,4000-6000,6000,[]
Jennifer Giles,F,239774699,1999-09-29,Junior,School of Environmental and Biological Sciences,0,0,['MRS' 'BS' 'SA'],Traditional Residence Hall,1,1,1,4000-6000,6000,"[172184955, 212349937, 627480932]"
Amber Robinson DDS,F,654140748,2004-10-16,Freshman,School of Social Work,0,0,['BS' 'SA' 'NCA'],Traditional Residence Hall,1,1,1,6000-8000,8000,"[601161069, 763152508, 566544286]"
Barry Massey,M,841750243,2005-08-22,Junior,Rutgers Business School–Newark and New Brunswick,0,0,['NCA' 'WS' 'BS'],Apartment,1,1,1,6000-8000,8000,[]
Charles West,M,329920484,2003-08-15,Sophomore,School of Communication and Information,0,0,['WS' 'NCA' 'SA'],Apartment,1,1,1,8000-11000,11000,"[844173034, 872403805, 381815366]"
Walter Mosley,M,518788429,2003-10-10,Sophomore,Rutgers Business School–Newark and New Brunswick,0,0,['BS' 'NCA' 'SA'],Traditional Residence Hall,1,1,1,8000-11000,11000,"[181298797, 648894073, 817325093]"
Ellen Smith,F,112843093,2005-07-22,Junior,School of Arts and Sciences,0,0,['SA' 'RA' 'NCA'],Apartment,1,0,1,4000-6000,6000,"[841615316, 451964283, 268377235]"
Andrew Oneal,M,596366183,2005-05-13,Junior,Edward J. Bloustein School of Planning and Public Policy,0,0,['NCA' 'MS' 'SA'],Apartment,1,1,0,8000-11000,11000,"[536488224, 514682698, 948061110]"
Tammy Chapman,F,956856908,2001-06-03,Sophomore,School of Arts and Sciences,0,0,['JS' 'BS' 'RA'],Traditional Residence Hall,1,1,1,6000-8000,8000,"[949987228, 356803379, 632697856]"
Joshua Thomas,M,605380871,2000-09-03,Freshman,School of Arts and Sciences,0,1,['BS' 'NCA' 'SA'],Suite,1,1,1,8000-11000,10000,"[370000097, 281523364, 593540781]"
Sonia Olson,F,253978294,2002-06-24,Sophomore,School of Arts and Sciences,1,1,['BS' 'SA' 'NCA'],Apartment,1,1,1,8000-11000,10000,[]
Anna Davis,F,499874811,2005-02-26,Freshman,School of Engineering,0,0,['NCA' 'WS' 'BS'],Apartment,1,1,1,4000-6000,6000,"[750348771, 653588519, 262824433]"
Jessica Clark,F,734897258,2001-03-09,Freshman,School of Arts and Sciences,0,0,['SA' 'BH' 'BS'],Suite,1,1,1,4000-6000,6000,"[270175494, 613482754, 395458394]"
Tanya Montoya,F,552020120,2002-04-01,Sophomore,Mason Gross School of the Arts,0,0,['BH' 'MZH' 'RA'],Traditional Residence Hall,1,1,1,4000-6000,6000,"[629278750, 889720474, 932286626]"
Amanda Garcia,F,499818744,2000-06-01,Freshman,School of Communication and Information,0,1,['JS' 'BS' 'SA'],Traditional Residence Hall,1,1,1,4000-6000,5000,"[526912557, 680275523, 580857656]"
Stephanie Rose,F,281351089,2002-05-27,Freshman,School of Management and Labor Relations,0,1,['RA' 'MZH' 'MRS'],Traditional Residence Hall,1,1,1,8000-11000,10000,"[464005888, 295554533, 122992224]"
Morgan Cruz,F,388629957,2005-08-04,Freshman,School of Communication and Information,0,1,['BS' 'NCA' 'BH'],Apartment,1,1,1,8000-11000,10000,"[605514771, 141467943, 104711215]"
Christine Mendoza,F,755423882,2005-05-23,Sophomore,School of Engineering,1,0,['TS' 'SA' 'WS'],Suite,1,1,1,4000-6000,6000,"[552519643, 902452926, 703046129]"
Keith Duke,M,467921510,2002-07-12,Junior,School of Communication and Information,0,1,['NCA' 'BS' 'TS'],Apartment,1,1,1,4000-6000,5000,"[256224242, 316445893, 331308053]"
Travis Gill,M,225960504,2003-10-24,Senior,School of Arts and Sciences,0,1,['CS' 'JS' 'NCA'],Traditional Residence Hall,1,1,1,4000-6000,5000,"[912063363, 101582420, 181298797]"
Jason Holloway,M,630764431,2000-09-08,Sophomore,School of Arts and Sciences,0,1,['MS' 'WS' 'NCA'],Apartment,1,1,1,4000-6000,5000,[]
Denise Patterson,F,963260463,2004-04-24,Freshman,Rutgers Business School–Newark and New Brunswick,0,0,['TS' 'BS' 'SA'],Apartment,1,1,1,8000-11000,11000,"[960961324, 678215292, 381934757]"
Jonathan Mathews,M,532009689,2002-03-24,Junior,School of Arts and Sciences,0,1,['JS' 'SA' 'BS'],Suite,1,1,1,4000-6000,5000,"[683331599, 590378519, 752818970]"
James Allison,M,276905192,2002-06-16,Sophomore,School of Arts and Sciences,0,0,['SA' 'BS' 'NCA'],Suite,1,1,1,4000-6000,6000,"[414976288, 116031932, 360435214]"
Jacob Harris,M,986388363,2003-08-14,Sophomore,Rutgers Business School–Newark and New Brunswick,0,1,['JS' 'NCA' 'BS'],Apartment,1,1,1,6000-8000,7000,"[739658993, 586041083, 161116607]"
John Hunter,M,819346628,2004-06-29,Freshman,School of Management and Labor Relations,0,1,['BS' 'WS' 'MZH'],Traditional Residence Hall,1,1,0,8000-11000,10000,"[223090983, 389360423, 416455273]"
Dr. Colin Martinez,M,556442015,2003-10-02,Sophomore,Mason Gross School of the Arts,0,0,['BS' 'RA' 'MZH'],Traditional Residence Hall,1,1,1,8000-11000,11000,"[619467393, 917380501, 154886787]"
Sarah Daugherty,F,786195700,2003-02-20,Sophomore,School of Social Work,0,0,['RA' 'BS' 'MZH'],Suite,1,1,1,6000-8000,8000,"[402216056, 574046326, 359371546]"
Shelby Alvarado,F,846125376,2004-04-27,Freshman,School of Management and Labor Relations,0,0,['BS' 'RA' 'BH'],Traditional Residence Hall,1,1,1,8000-11000,11000,[]
Ashley Jensen,F,992520826,2004-03-31,Freshman,School of Arts and Sciences,0,0,['SA' 'AH' 'NCA'],Apartment,1,1,1,8000-11000,11000,"[693983104, 374671453, 343526194]"
Justin Weaver,M,813682277,2000-01-10,Freshman,School of Arts and Sciences,1,0,['SA' 'MZH' 'BS'],Suite,1,1,1,6000-8000,8000,[]
John Scott,M,590657912,2005-04-16,Junior,School of Social Work,0,1,['SA' 'MZH' 'NCA'],Traditional Residence Hall,1,1,1,4000-6000,5000,"[699272364, 175188449, 779329669]"
Daniel Baker,M,122014832,2004-03-28,Freshman,School of Arts and Sciences,0,0,['MH' 'SA' 'WS'],Suite,1,1,1,8000-11000,11000,[]
Kevin Huynh,M,455948359,2001-08-18,Sophomore,Rutgers Business School–Newark and New Brunswick,0,0,['BH' 'NCA' 'JS'],Suite,1,1,1,4000-6000,6000,"[519754223, 693983104, 137824105]"
Mr. Kevin Howard,M,202158316,2002-02-08,Senior,School of Communication and Information,0,0,['BS' 'MS' 'AH'],Suite,1,1,1,8000-11000,11000,"[772655672, 869986886, 882910022]"
Dr. Robert Dougherty,M,303752212,2004-09-27,Junior,Mason Gross School of the Arts,0,1,['TS' 'JS' 'CS'],Traditional Residence Hall,1,1,1,8000-11000,10000,"[431943718, 541883059, 999136895]"
Laura Gill,F,132239059,2002-11-22,Freshman,School of Arts and Sciences,0,0,['MRS' 'BS' 'MZH'],Suite,1,1,1,8000-11000,11000,[]
Cameron Brown,M,444844278,2002-11-20,Freshman,Mason Gross School of the Arts,0,0,['MS' 'NCA' 'AH'],Suite,1,1,1,4000-6000,6000,"[295453919, 311022243, 167576381]"
Todd Pacheco,M,757087151,2002-05-28,Sophomore,School of Arts and Sciences,0,0,['SA' 'MZH' 'RA'],Apartment,1,1,1,4000-6000,6000,"[416451625, 981315463, 566869257]"
Kristin Rodriguez,F,373284008,2005-06-15,Freshman,School of Social Work,0,0,['BS' 'RA' 'NCA'],Apartment,1,0,1,8000-11000,11000,"[152000686, 327109704, 217160848]"
Alexa Figueroa,F,413699427,2005-05-14,Freshman,Rutgers Business School–Newark and New Brunswick,0,0,['RA' 'SA' 'BH'],Suite,1,1,1,8000-11000,11000,"[216968035, 220156404, 441443620]"
Antonio Coleman,M,835510806,1999-10-04,Sophomore,School of Arts and Sciences,0,0,['BS' 'NCA' 'SA'],Suite,1,1,1,8000-11000,11000,"[930643875, 667680018, 661201257]"
Michael Thompson,M,528733348,2003-02-01,Freshman,School of Environmental and Biological Sciences,0,0,['BS' 'RA' 'NCA'],Suite,1,1,1,4000-6000,6000,"[747005851, 227191194, 396865603]"
Sarah King,F,139959568,2002-04-02,Freshman,School of Social Work,0,0,['NCA' 'CS' 'WS'],Apartment,1,1,1,8000-11000,11000,"[378198072, 404211885, 941876703]"
Ellen Miller,F,269153260,2003-08-22,Sophomore,Rutgers Business School–Newark and New Brunswick,0,0,['BH' 'RA' 'NCA'],Traditional Residence Hall,1,1,1,8000-11000,11000,[]
Wesley Hart,M,108634302,2001-01-15,Junior,School of Arts and Sciences,0,0,['RA' 'BS' 'SA'],Traditional Residence Hall,1,1,1,4000-6000,6000,"[788140122, 153094125, 690817458]"
Matthew Daniels,M,681814362,2004-09-23,Freshman,Mason Gross School of the Arts,0,0,['NCA' 'BS' 'RA'],Suite,1,1,1,8000-11000,11000,[]
Allison Frazier,F,566979535,1999-09-29,Sophomore,School of Engineering,0,0,['NCA' 'JS' 'SA'],Traditional Residence Hall,1,1,1,4000-6000,6000,"[810295245, 233338957, 284968510]"
Ms. Anita Harris,F,353417412,1999-12-11,Freshman,Rutgers Business School–Newark and New Brunswick,0,0,['RA' 'BS' 'TS'],Suite,1,0,1,6000-8000,8000,[]
Patrick Phillips,M,600760735,2001-09-22,Sophomore,School of Communication and Information,0,1,['MS' 'NCA' 'BH'],Suite,1,1,1,8000-11000,10000,"[332388507, 549201805, 960961324]"
Jack Barnett,M,189610563,2005-07-17,Freshman,School of Communication and Information,0,0,['SA' 'RA' 'NCA'],Traditional Residence Hall,1,1,1,4000-6000,6000,[]
Angela Crawford,F,932910195,2003-08-16,Freshman,School of Arts and Sciences,0,0,['SA' 'RA' 'MZH'],Suite,1,1,1,4000-6000,6000,"[464408283, 741877768, 492304249]"
Lisa Poole,F,564099035,2000-09-11,Freshman,School of Social Work,0,0,['BS' 'JS' 'BH'],Apartment,1,1,0,8000-11000,11000,"[556984338, 460016874, 704787306]"
Rachel Bolton,F,459648499,2004-10-29,Junior,Rutgers Business School–Newark and New Brunswick,0,0,['SA' 'MZH' 'BS'],Suite,1,1,1,8000-11000,11000,"[311694523, 999383002, 168248523]"
Kaitlyn Jenkins,F,881380739,2002-10-25,Freshman,School of Communication and Information,1,0,['BS' 'TS' 'CS'],Traditional Residence Hall,1,1,1,4000-6000,6000,"[988839757, 726176573, 104711215]"
Kurt Webb,M,943281802,2005-08-25,Sophomore,Edward J. Bloustein School of Planning and Public Policy,0,1,['BS' 'SA' 'AH'],Suite,1,1,1,4000-6000,5000,"[331350784, 398537718, 544254602]"
Lauren Kelly,F,345180163,2005-05-22,Freshman,School of Arts and Sciences,0,0,['SA' 'WS' 'BS'],Suite,1,1,1,6000-8000,8000,"[629278750, 249073209, 118631054]"
Edward Johnson,M,123021324,2000-09-07,Freshman,School of Engineering,0,0,['CS' 'MS' 'SA'],Suite,1,0,1,4000-6000,6000,[]
Adriana Wilson,F,861983564,2001-12-19,Sophomore,School of Environmental and Biological Sciences,0,1,['NCA' 'TS' 'WS'],Apartment,1,1,1,6000-8000,7000,"[603940833, 493451643, 896501063]"
Caleb Moreno,M,772798005,2002-08-10,Sophomore,School of Arts and Sciences,0,1,['SA' 'MH' 'BS'],Suite,1,1,1,4000-6000,5000,"[637526381, 579161550, 485219871]"
Christopher Crosby,M,370800980,2004-11-04,Junior,School of Arts and Sciences,0,0,['BS' 'CS' 'JS'],Apartment,1,1,1,6000-8000,8000,[]
Anthony Johnston,M,353046342,2002-02-03,Sophomore,School of Engineering,0,0,['SA' 'MH' 'BS'],Suite,1,1,1,4000-6000,6000,"[646200156, 739940838, 341382237]"
Natalie Sosa,F,396554815,2004-05-13,Freshman,School of Arts and Sciences,0,0,['BS' 'SA' 'MS'],Apartment,1,1,1,4000-6000,6000,"[240258079, 949952394, 988149090]"
Dr. Angela Cisneros,F,119839606,2000-06-06,Sophomore,School of Arts and Sciences,0,0,['NCA' 'SA' 'TS'],Suite,1,1,1,4000-6000,6000,[]
Michele Pham,F,312859812,1999-12-29,Freshman,School of Arts and Sciences,0,0,['SA' 'BS' 'JS'],Apartment,1,1,1,8000-11000,11000,[]
Michael Williams,M,233338957,2000-05-01,Junior,School of Arts and Sciences,1,0,['RA' 'BH' 'JS'],Suite,1,1,1,6000-8000,8000,"[859420113, 899178751, 736180013]"
Vincent Flowers,M,845013605,2003-08-01,Sophomore,Mason Gross School of the Arts,0,0,['MS' 'RA' 'NCA'],Apartment,1,1,1,6000-8000,8000,"[234390650, 864834742, 538027371]"
Philip Kent,M,160021373,2003-10-20,Freshman,Edward J. Bloustein School of Planning and Public Policy,0,0,['BS' 'MS' 'SA'],Apartment,1,1,1,6000-8000,8000,"[289220946, 678982168, 200331761]"
Gabriel Frazier,M,235392605,2001-09-10,Freshman,Edward J. Bloustein School of Planning and Public Policy,0,0,['NCA' 'RA' 'MS'],Apartment,1,1,1,4000-6000,6000,[]
Anthony Nguyen,M,990943693,2000-08-25,Freshman,Mason Gross School of the Arts,0,0,['MS' 'SA' 'NCA'],Suite,1,0,1,6000-8000,8000,"[301272950, 850508450, 601161069]"
Vanessa Brown,F,310876402,2002-02-20,Freshman,Rutgers Business School–Newark and New Brunswick,0,0,['AH' 'MZH' 'NCA'],Apartment,1,1,1,4000-6000,6000,"[503432909, 405135602, 108354050]"
Shane Jackson,M,666265738,1999-11-07,Freshman,Mason Gross School of the Arts,0,1,['NCA' 'BS' 'CS'],Suite,1,1,1,4000-6000,5000,"[645492458, 624648214, 370106693]"
Kelsey Sims,F,290821297,2005-04-28,Freshman,School of Arts and Sciences,1,1,['WS' 'MH' 'TS'],Apartment,1,1,1,8000-11000,10000,"[427384502, 757330123, 326914009]"
Wendy Edwards DDS,F,616444771,2001-01-16,Junior,School of Engineering,0,0,['MS' 'BH' 'RA'],Apartment,1,1,1,4000-6000,6000,"[892898396, 850209877, 806955576]"
Philip Everett,M,549372521,2003-06-07,Freshman,School of Management and Labor Relations,0,1,['TS' 'MS' 'MH'],Traditional Residence Hall,1,1,1,4000-6000,5000,"[552147593, 121007801, 470574866]"
