name,sex,RUID,date_of_birth,student_year,student_school,accessibility_need,low_income_status,preferred_hall_ids,preferred_residence_type,is_single_preferred,is_private_bathroom_preferred,laundry_availibility,preferred_price_range,max_price
Jonathan Romero,M,588818702,2004-04-28,Sophomore,School of Arts and Sciences,0,0,['CS' 'JS' 'MZH'],Traditional Residence Hall,1,1,0,4000-6000,6000
Judith Campos,F,172590710,2005-09-14,Junior,School of Engineering,0,1,['BS' 'MS' 'SA'],Suite,1,1,1,4000-6000,5000
Bradley Sanders,M,172537968,2003-06-09,Sophomore,School of Communication and Information,0,1,['NCA' 'AH' 'MZH'],Apartment,1,1,1,8000-11000,10000
Kelly Edwards,F,169879695,2001-04-04,Junior,School of Environmental and Biological Sciences,0,0,['BS' 'MS' 'MZH'],Suite,1,1,1,4000-6000,6000
Terri Taylor,F,443305892,2000-06-19,Senior,Rutgers Business School–Newark and New Brunswick,0,0,['BH' 'BS' 'MZH'],Apartment,1,0,1,4000-6000,6000
Leslie Mays MD,F,637580474,2005-01-18,Sophomore,School of Engineering,0,1,['MH' 'RA' 'NCA'],Apartment,1,1,1,4000-6000,5000
Emma Maddox,F,152620373,2004-10-31,Freshman,Edward J. Bloustein School of Planning and Public Policy,0,0,['SA' 'BS' 'JS'],Apartment,1,1,1,6000-8000,8000
Sharon Long,F,345958064,2004-01-16,Sophomore,School of Arts and Sciences,0,0,['BS' 'NCA' 'CS'],Apartment,1,1,1,4000-6000,6000
Ivan Pittman,M,598248596,2001-12-17,Senior,School of Engineering,0,1,['BS' 'MH' 'NCA'],Suite,1,1,1,4000-6000,5000
Brian Shelton,M,318506709,2001-02-21,Freshman,Rutgers Business School–Newark and New Brunswick,0,1,['MZH' 'BS' 'RA'],Suite,1,1,1,4000-6000,5000
Monica Turner,F,586165989,2000-05-15,Sophomore,School of Social Work,1,0,['BS' 'RA' 'SA'],Apartment,1,1,1,8000-11000,11000
Lisa Davis,F,288202037,2000-11-29,Sophomore,Mason Gross School of the Arts,0,0,['SA' 'TS' 'BS'],Apartment,1,1,1,8000-11000,11000
Adam Mills,M,453600006,2000-07-13,Junior,School of Environmental and Biological Sciences,1,0,['NCA' 'BH' 'RA'],Traditional Residence Hall,1,1,1,4000-6000,6000
Joanna Rose,F,719257930,2002-02-23,Freshman,School of Arts and Sciences,0,0,['BS' 'SA' 'NCA'],Suite,1,1,1,8000-11000,11000
Toni Collins,F,404519801,2002-11-06,Senior,School of Communication and Information,0,1,['MS' 'SA' 'MH'],Apartment,1,1,1,4000-6000,5000
Carl Gibson,M,866243748,2001-04-12,Junior,School of Arts and Sciences,1,1,['NCA' 'MRS' 'BS'],Apartment,1,1,1,8000-11000,10000
Dr. Katie Anderson MD,F,161948719,1999-12-28,Freshman,School of Arts and Sciences,0,0,['MZH' 'MRS' 'SA'],Suite,1,1,1,6000-8000,8000
Casey Johnson MD,F,475397426,2005-01-29,Freshman,School of Communication and Information,0,0,['MRS' 'BS' 'NCA'],Suite,1,1,0,4000-6000,6000
Ronald Smith DVM,M,281521260,2004-03-10,Freshman,School of Communication and Information,0,0,['NCA' 'AH' 'RA'],Suite,1,1,1,8000-11000,11000
David Lewis,M,372076133,2003-12-02,Junior,School of Arts and Sciences,0,0,['BS' 'RA' 'MH'],Suite,1,1,1,4000-6000,6000
Molly Jackson,F,576296530,2003-09-01,Freshman,School of Engineering,0,0,['MH' 'NCA' 'MS'],Suite,1,1,1,4000-6000,6000
Madeline Snyder,F,792093991,2000-07-28,Sophomore,School of Arts and Sciences,0,0,['BS' 'MH' 'CS'],Apartment,1,1,1,4000-6000,6000
Jennifer Mcguire,F,137036382,2004-09-28,Sophomore,School of Communication and Information,0,0,['CS' 'AH' 'RA'],Suite,1,1,1,8000-11000,11000
Yvonne Harris,F,189757368,2002-04-25,Freshman,School of Communication and Information,0,0,['SA' 'BS' 'RA'],Apartment,1,1,1,4000-6000,6000
Travis Gonzalez,M,382439588,2001-05-14,Freshman,Rutgers Business School–Newark and New Brunswick,0,1,['SA' 'MH' 'RA'],Suite,1,0,1,4000-6000,5000
Mr. Troy Miller,M,974373888,2001-12-07,Sophomore,School of Arts and Sciences,0,0,['SA' 'MH' 'MS'],Suite,1,1,1,6000-8000,8000
Rose Singleton DDS,F,442888410,2005-06-26,Freshman,Rutgers Business School–Newark and New Brunswick,0,0,['BS' 'RA' 'NCA'],Suite,1,1,1,6000-8000,8000
Julie Peterson,F,218537666,2005-01-24,Sophomore,Rutgers Business School–Newark and New Brunswick,0,0,['NCA' 'WS' 'BH'],Suite,1,1,1,4000-6000,6000
Rebecca Scott,F,329371165,2002-07-12,Sophomore,Edward J. Bloustein School of Planning and Public Policy,0,0,['CS' 'MRS' 'SA'],Suite,1,1,1,8000-11000,11000
Kimberly Smith,F,658010068,2003-04-04,Freshman,School of Environmental and Biological Sciences,0,0,['NCA' 'CS' 'JS'],Apartment,1,1,1,8000-11000,11000
Natalie Keller,F,947406782,2002-03-05,Junior,Mason Gross School of the Arts,0,0,['MRS' 'MZH' 'TS'],Traditional Residence Hall,1,1,1,8000-11000,11000
Sharon Wilson,F,685918245,2005-09-20,Junior,School of Management and Labor Relations,0,1,['BS' 'RA' 'JS'],Apartment,1,1,1,4000-6000,5000
Cindy Garcia,F,640242024,2002-10-30,Freshman,School of Arts and Sciences,0,1,['BH' 'SA' 'BS'],Apartment,1,1,1,8000-11000,10000
Craig Anderson,M,743555788,2003-06-09,Senior,School of Communication and Information,0,0,['TS' 'MS' 'BS'],Suite,1,1,1,4000-6000,6000
Valerie Cantu,F,245760855,2000-10-11,Senior,School of Environmental and Biological Sciences,0,0,['NCA' 'RA' 'BS'],Suite,1,1,1,6000-8000,8000
Tommy Strickland,M,447221255,2003-02-02,Freshman,School of Communication and Information,0,0,['SA' 'BH' 'JS'],Apartment,1,1,1,4000-6000,6000
Jason Hughes,M,652618562,2001-12-17,Freshman,School of Arts and Sciences,0,0,['BS' 'BH' 'TS'],Apartment,1,1,1,8000-11000,11000
Kimberly Robinson,F,138842639,2005-08-07,Junior,School of Arts and Sciences,0,1,['SA' 'BS' 'MZH'],Traditional Residence Hall,1,1,1,4000-6000,5000
Brenda Kelly,F,337184161,2000-12-26,Senior,Mason Gross School of the Arts,0,0,['SA' 'TS' 'MZH'],Traditional Residence Hall,1,0,1,4000-6000,6000
Melissa Arnold,F,344916936,2004-09-30,Freshman,Mason Gross School of the Arts,0,1,['SA' 'MZH' 'NCA'],Apartment,1,1,1,8000-11000,10000
Shannon Wall,F,458725629,2002-06-27,Junior,Mason Gross School of the Arts,0,0,['MRS' 'BS' 'NCA'],Suite,1,0,1,8000-11000,11000
Peter Mullins,M,472194411,2002-10-09,Sophomore,School of Arts and Sciences,0,0,['SA' 'NCA' 'TS'],Suite,1,1,1,8000-11000,11000
Stephanie Collins,F,694898985,2004-06-30,Junior,School of Arts and Sciences,0,1,['NCA' 'BS' 'RA'],Apartment,1,1,1,8000-11000,10000
Danny Simpson,M,665322401,2003-04-23,Sophomore,Mason Gross School of the Arts,0,0,['SA' 'AH' 'MS'],Apartment,1,1,1,4000-6000,6000
Benjamin Higgins,M,938648520,2004-01-03,Freshman,School of Engineering,0,1,['RA' 'MH' 'TS'],Apartment,1,1,1,4000-6000,5000
Michael Perry,M,178149560,1999-12-18,Junior,School of Arts and Sciences,1,1,['RA' 'JS' 'BS'],Suite,1,0,1,4000-6000,5000
Amanda Richardson,F,292743387,2000-11-11,Freshman,Rutgers Business School–Newark and New Brunswick,0,1,['BS' 'AH' 'NCA'],Suite,1,1,1,8000-11000,10000
Brandon Ellis,M,967814896,2004-08-08,Freshman,School of Arts and Sciences,0,0,['MH' 'SA' 'MS'],Apartment,1,0,1,4000-6000,6000
Joshua Johnson,M,912734610,2005-08-09,Junior,School of Arts and Sciences,0,0,['WS' 'BS' 'MZH'],Apartment,1,1,1,4000-6000,6000
Elizabeth Reynolds,F,789169639,1999-12-20,Junior,School of Arts and Sciences,0,0,['MZH' 'MRS' 'JS'],Suite,1,0,1,8000-11000,11000
Samuel Luna,M,620977960,2004-09-30,Junior,School of Management and Labor Relations,0,0,['BS' 'CS' 'RA'],Apartment,1,1,1,6000-8000,8000
Justin Chang,M,575268414,2003-12-29,Sophomore,School of Arts and Sciences,0,1,['SA' 'NCA' 'BS'],Traditional Residence Hall,1,1,0,4000-6000,5000
Cassandra Brennan,F,993219966,2004-02-23,Junior,School of Arts and Sciences,0,0,['AH' 'RA' 'NCA'],Apartment,1,1,1,8000-11000,11000
Vincent Young,M,324917040,2005-07-08,Sophomore,School of Social Work,0,1,['BS' 'TS' 'CS'],Suite,1,1,1,8000-11000,10000
Noah Lawrence,M,364631582,2004-10-30,Sophomore,School of Arts and Sciences,0,0,['SA' 'MS' 'NCA'],Apartment,1,0,1,6000-8000,8000
Chelsea Fischer,F,448581326,2001-04-03,Freshman,School of Engineering,0,1,['MS' 'RA' 'MH'],Apartment,1,1,1,6000-8000,7000
Brett Ryan,M,842007464,2005-09-19,Sophomore,School of Arts and Sciences,0,0,['RA' 'MS' 'TS'],Apartment,1,0,1,4000-6000,6000
Nancy White,F,735392673,1999-10-23,Senior,School of Arts and Sciences,0,0,['SA' 'NCA' 'AH'],Traditional Residence Hall,1,1,1,6000-8000,8000
Randall Mckinney,M,708702091,2001-03-21,Sophomore,Mason Gross School of the Arts,0,1,['NCA' 'SA' 'MS'],Apartment,1,1,1,6000-8000,7000
Danielle Harding,F,930774756,2002-02-23,Sophomore,School of Arts and Sciences,0,1,['JS' 'MRS' 'NCA'],Suite,1,1,1,8000-11000,10000
Johnathan Pittman,M,219422926,2002-01-10,Freshman,School of Arts and Sciences,0,1,['JS' 'NCA' 'MRS'],Suite,1,1,1,8000-11000,10000
Jennifer Bennett,F,374413558,2001-12-11,Senior,School of Engineering,0,0,['BH' 'SA' 'RA'],Suite,1,1,1,6000-8000,8000
Destiny Frey,F,349817308,2001-12-25,Freshman,School of Arts and Sciences,0,0,['NCA' 'RA' 'JS'],Apartment,1,1,1,8000-11000,11000
Tracy Smith,F,754152253,2000-11-23,Freshman,School of Arts and Sciences,0,0,['JS' 'RA' 'MS'],Apartment,1,1,1,8000-11000,11000
Nicole Ellis,F,976996516,2002-08-08,Senior,School of Arts and Sciences,0,0,['NCA' 'MRS' 'BS'],Traditional Residence Hall,1,1,1,6000-8000,8000
Dawn Brown,F,156761915,2005-07-25,Freshman,School of Arts and Sciences,0,0,['SA' 'NCA' 'BS'],Suite,1,1,1,4000-6000,6000
Brenda Phillips,F,760558925,2004-01-07,Freshman,School of Arts and Sciences,0,0,['RA' 'MZH' 'TS'],Apartment,1,1,1,4000-6000,6000
Angela Chapman,F,850044589,2003-01-17,Freshman,School of Arts and Sciences,0,0,['RA' 'SA' 'MRS'],Traditional Residence Hall,1,1,1,4000-6000,6000
Alyssa Park,F,741956826,1999-11-22,Freshman,School of Arts and Sciences,0,0,['MS' 'WS' 'NCA'],Apartment,1,1,1,4000-6000,6000
Brandon Singleton,M,215285754,2000-12-08,Junior,School of Arts and Sciences,0,0,['CS' 'AH' 'SA'],Apartment,1,1,1,4000-6000,6000
Mariah Arroyo,F,549450866,2004-03-29,Junior,School of Communication and Information,0,0,['NCA' 'WS' 'RA'],Apartment,1,1,1,4000-6000,6000
Stacey Miller,F,811261097,2000-02-21,Freshman,School of Engineering,0,1,['NCA' 'BS' 'RA'],Suite,1,1,1,4000-6000,5000
Mrs. Sharon Hardin MD,F,637750324,2004-06-10,Junior,School of Communication and Information,1,0,['NCA' 'RA' 'MH'],Apartment,1,1,1,4000-6000,6000
Diane Arnold,F,602693331,2004-06-07,Sophomore,School of Arts and Sciences,0,0,['SA' 'RA' 'BS'],Suite,1,1,1,6000-8000,8000
Elizabeth Hamilton,F,574734974,1999-11-13,Sophomore,School of Arts and Sciences,0,0,['NCA' 'BS' 'SA'],Suite,1,1,1,4000-6000,6000
Miss Kayla Fuller,F,593745665,2002-06-23,Sophomore,School of Communication and Information,0,0,['NCA' 'SA' 'BS'],Apartment,1,1,1,6000-8000,8000
Juan Proctor,M,539158069,2004-12-28,Freshman,School of Arts and Sciences,0,0,['MS' 'WS' 'BS'],Apartment,1,1,1,4000-6000,6000
Jennifer Hess,F,915633762,2004-09-15,Freshman,School of Communication and Information,0,0,['BS' 'JS' 'SA'],Suite,1,0,1,4000-6000,6000
Shari Mckay,F,748671420,2003-08-20,Junior,School of Communication and Information,0,1,['MS' 'MH' 'BS'],Traditional Residence Hall,1,0,1,6000-8000,7000
Joanna Washington,F,262075084,2000-03-28,Junior,Mason Gross School of the Arts,0,0,['MS' 'BS' 'SA'],Apartment,1,1,1,6000-8000,8000
Russell Peterson,M,320663284,2002-10-02,Freshman,School of Engineering,0,0,['CS' 'NCA' 'RA'],Suite,1,1,1,4000-6000,6000
Carol Barrera,F,562185656,2001-09-04,Junior,School of Arts and Sciences,0,1,['NCA' 'SA' 'WS'],Apartment,1,1,1,4000-6000,5000
Steven Richardson,M,278146459,2004-07-19,Junior,School of Arts and Sciences,0,0,['CS' 'BH' 'RA'],Suite,1,1,1,4000-6000,6000
Sonya Smith,F,611757004,2002-07-30,Freshman,School of Communication and Information,0,1,['SA' 'BS' 'MZH'],Apartment,1,1,1,6000-8000,7000
Timothy Porter,M,384426644,2000-04-20,Freshman,School of Arts and Sciences,0,0,['TS' 'MS' 'AH'],Suite,1,1,1,4000-6000,6000
Courtney Zimmerman,F,585219741,2003-11-14,Sophomore,School of Arts and Sciences,0,1,['SA' 'MS' 'WS'],Suite,1,1,1,4000-6000,5000
Natalie Grant,F,931040883,2005-01-06,Junior,School of Arts and Sciences,0,0,['RA' 'MS' 'NCA'],Suite,1,1,1,8000-11000,11000
Cassandra Perez,F,887660112,2004-01-14,Freshman,School of Arts and Sciences,0,0,['MRS' 'RA' 'SA'],Apartment,1,1,1,8000-11000,11000
James Hall,M,305997530,2003-08-17,Freshman,School of Arts and Sciences,0,0,['MRS' 'NCA' 'BS'],Apartment,1,1,1,4000-6000,6000
Joe Ramsey,M,229591328,2002-12-10,Sophomore,Mason Gross School of the Arts,0,0,['RA' 'JS' 'MH'],Apartment,1,0,1,6000-8000,8000
Joseph Barker,M,361920408,2002-12-16,Junior,Rutgers Business School–Newark and New Brunswick,0,1,['BS' 'RA' 'NCA'],Suite,1,0,1,4000-6000,5000
Alexandra Henderson,F,765159807,2005-09-04,Senior,Rutgers Business School–Newark and New Brunswick,0,1,['BH' 'SA' 'MZH'],Apartment,1,1,0,4000-6000,5000
Robert Barnes Jr.,M,225782781,2005-01-16,Junior,School of Engineering,0,0,['RA' 'NCA' 'MH'],Apartment,1,1,0,4000-6000,6000
Lisa Stevenson,F,230999381,2000-11-17,Freshman,School of Arts and Sciences,0,1,['MZH' 'SA' 'JS'],Traditional Residence Hall,1,1,1,4000-6000,5000
Anna Ware,F,780731670,2005-07-02,Junior,Mason Gross School of the Arts,0,0,['SA' 'NCA' 'JS'],Apartment,1,1,1,4000-6000,6000
Heather Mcbride,F,120611514,2000-07-06,Sophomore,Rutgers Business School–Newark and New Brunswick,0,0,['NCA' 'BS' 'RA'],Traditional Residence Hall,1,1,1,4000-6000,6000
Brian Joyce,M,158181670,2000-08-25,Freshman,School of Engineering,0,0,['RA' 'AH' 'MH'],Suite,1,1,1,8000-11000,11000
Thomas Ramos,M,194218068,2000-08-28,Freshman,Edward J. Bloustein School of Planning and Public Policy,0,0,['NCA' 'MS' 'SA'],Traditional Residence Hall,1,1,1,4000-6000,6000
Kevin Lambert,M,800243146,2004-12-01,Freshman,Mason Gross School of the Arts,0,1,['RA' 'MZH' 'MH'],Traditional Residence Hall,1,1,1,6000-8000,7000
Jessica Shaw,F,195697973,2004-11-06,Freshman,School of Arts and Sciences,0,1,['TS' 'RA' 'MH'],Suite,1,0,1,8000-11000,10000
Sharon Lara,F,474032424,2002-09-02,Freshman,School of Arts and Sciences,0,0,['RA' 'NCA' 'SA'],Apartment,1,1,1,4000-6000,6000
Paul Perez,M,231093662,2002-11-18,Freshman,School of Arts and Sciences,0,0,['JS' 'SA' 'TS'],Suite,1,1,1,4000-6000,6000
James Owens,M,341304657,2002-07-21,Sophomore,School of Environmental and Biological Sciences,0,0,['MZH' 'MRS' 'SA'],Suite,1,1,1,4000-6000,6000
Nicholas Hughes,M,308403501,2001-09-02,Junior,School of Communication and Information,0,1,['SA' 'RA' 'JS'],Apartment,1,0,0,6000-8000,7000
Amy Davis,F,562962233,2002-03-06,Sophomore,School of Arts and Sciences,0,0,['NCA' 'SA' 'BS'],Apartment,1,0,1,4000-6000,6000
Justin Ramsey,M,606701928,2002-01-28,Junior,School of Engineering,0,0,['SA' 'MZH' 'MRS'],Suite,1,1,1,4000-6000,6000
Brenda Ayala,F,492991938,2002-04-26,Sophomore,School of Arts and Sciences,0,0,['SA' 'NCA' 'RA'],Suite,1,0,1,4000-6000,6000
Margaret Anderson,F,398908982,2001-05-23,Freshman,School of Arts and Sciences,0,1,['TS' 'SA' 'MH'],Suite,1,1,1,8000-11000,10000
Sean Yang,M,516386577,2004-09-06,Freshman,School of Arts and Sciences,0,1,['MS' 'MH' 'MZH'],Apartment,1,1,1,8000-11000,10000
Kelli Rice,F,521754571,2004-12-03,Sophomore,School of Communication and Information,0,0,['RA' 'MS' 'TS'],Traditional Residence Hall,1,1,1,4000-6000,6000
Nancy Jacobs,F,958089796,2000-05-19,Freshman,Edward J. Bloustein School of Planning and Public Policy,0,1,['NCA' 'BS' 'CS'],Traditional Residence Hall,1,1,1,4000-6000,5000
Rebecca Thomas,F,462970766,2000-04-08,Freshman,Mason Gross School of the Arts,0,0,['BS' 'NCA' 'SA'],Suite,1,0,1,4000-6000,6000
Ashley Schwartz,F,910474681,2002-07-26,Sophomore,School of Environmental and Biological Sciences,0,0,['MS' 'BS' 'MZH'],Traditional Residence Hall,1,1,1,4000-6000,6000
Zachary Spencer,M,388420901,2000-11-01,Senior,School of Social Work,0,0,['SA' 'BS' 'JS'],Suite,1,1,1,4000-6000,6000
Vanessa Snyder,F,147185757,2000-11-15,Sophomore,School of Engineering,0,0,['TS' 'BH' 'MS'],Suite,1,0,1,8000-11000,11000
Dustin Gonzalez,M,377764212,2005-09-20,Sophomore,Edward J. Bloustein School of Planning and Public Policy,0,0,['AH' 'RA' 'SA'],Suite,1,1,1,4000-6000,6000
Jenna Martinez,F,882851542,2001-09-21,Sophomore,School of Arts and Sciences,0,0,['JS' 'CS' 'AH'],Suite,1,1,1,8000-11000,11000
Alexander Barnes,M,472239832,2004-01-09,Freshman,Mason Gross School of the Arts,0,1,['NCA' 'AH' 'CS'],Apartment,1,1,1,4000-6000,5000
Debra Hernandez,F,699222915,2001-09-29,Sophomore,School of Arts and Sciences,0,0,['BS' 'NCA' 'AH'],Apartment,1,1,1,8000-11000,11000
Bradley Mcbride,M,711634178,2001-11-08,Junior,School of Engineering,0,0,['BH' 'SA' 'BS'],Traditional Residence Hall,1,1,0,4000-6000,6000
Cindy Sosa,F,975025559,2002-06-21,Sophomore,School of Communication and Information,0,1,['SA' 'BS' 'AH'],Suite,1,1,1,8000-11000,10000
Michael Wagner,M,859812597,2000-03-15,Junior,School of Communication and Information,0,1,['BS' 'NCA' 'MZH'],Apartment,1,1,1,4000-6000,5000
Kathleen Padilla,F,712721064,2003-10-21,Junior,School of Arts and Sciences,0,1,['WS' 'SA' 'RA'],Traditional Residence Hall,1,1,1,8000-11000,10000
Andrew Valencia,M,517155462,2005-04-30,Freshman,School of Arts and Sciences,0,1,['SA' 'MH' 'NCA'],Apartment,1,1,1,6000-8000,7000
John Lopez,M,750382126,2005-06-05,Junior,School of Arts and Sciences,0,0,['SA' 'BS' 'NCA'],Apartment,1,1,1,8000-11000,11000
Elijah Johnson,M,287939965,2004-01-05,Freshman,Rutgers Business School–Newark and New Brunswick,0,0,['MS' 'NCA' 'AH'],Apartment,1,1,1,4000-6000,6000
Lynn Sullivan,F,925869879,2000-03-21,Freshman,School of Environmental and Biological Sciences,0,0,['BS' 'MH' 'SA'],Suite,1,1,1,8000-11000,11000
Jody Evans,F,347268166,2003-08-31,Freshman,School of Engineering,0,0,['MH' 'BS' 'TS'],Traditional Residence Hall,1,1,1,8000-11000,11000
Mary Patterson MD,F,330101322,2002-09-07,Junior,School of Engineering,0,0,['MH' 'MRS' 'BS'],Suite,1,0,1,4000-6000,6000
Steven Cameron,M,585416752,2004-06-03,Junior,School of Environmental and Biological Sciences,0,1,['BS' 'NCA' 'MRS'],Suite,1,1,1,6000-8000,7000
Mark Kaufman,M,792918758,1999-11-07,Sophomore,School of Arts and Sciences,0,0,['NCA' 'BS' 'AH'],Apartment,1,1,1,6000-8000,8000
Kevin Taylor,M,505035691,1999-10-06,Junior,Mason Gross School of the Arts,0,0,['MS' 'TS' 'BS'],Suite,1,1,1,8000-11000,11000
Richard Rice,M,177398473,2002-01-07,Sophomore,School of Engineering,0,0,['NCA' 'BS' 'RA'],Apartment,1,1,1,4000-6000,6000
Timothy Brown,M,608438917,2004-04-06,Freshman,School of Arts and Sciences,0,1,['CS' 'AH' 'BS'],Apartment,1,1,1,8000-11000,10000
Michelle Wells,F,760814123,2001-05-10,Sophomore,School of Engineering,0,0,['BS' 'WS' 'MRS'],Suite,1,1,1,8000-11000,11000
Sean Taylor,M,218474747,2004-09-30,Junior,School of Arts and Sciences,0,1,['RA' 'MZH' 'TS'],Apartment,1,1,1,8000-11000,10000
Chelsea Reyes,F,477945156,2002-02-11,Senior,School of Arts and Sciences,0,0,['SA' 'NCA' 'RA'],Apartment,1,1,1,4000-6000,6000
Julie Oconnell,F,686408482,2000-03-06,Sophomore,School of Communication and Information,0,0,['TS' 'MH' 'MS'],Suite,1,1,1,8000-11000,11000
Tonya Robertson,F,928257156,2004-10-27,Sophomore,Edward J. Bloustein School of Planning and Public Policy,0,0,['SA' 'NCA' 'BS'],Suite,1,1,1,4000-6000,6000
Steven Hoffman,M,230521188,2005-06-28,Freshman,School of Engineering,0,0,['NCA' 'BS' 'SA'],Suite,1,1,1,8000-11000,11000
Jennifer Moore,F,716638537,2000-01-18,Sophomore,School of Engineering,0,0,['SA' 'MS' 'BS'],Suite,1,1,1,4000-6000,6000
Andrew Baldwin,M,883729678,2001-04-05,Sophomore,Mason Gross School of the Arts,0,1,['NCA' 'TS' 'AH'],Suite,1,1,1,6000-8000,7000
Adam Chapman,M,102592220,2001-09-01,Junior,School of Communication and Information,0,0,['MRS' 'MH' 'SA'],Suite,1,1,1,4000-6000,6000
Diane Perry,F,496611686,2004-05-05,Junior,Mason Gross School of the Arts,0,0,['CS' 'BS' 'BH'],Suite,1,1,1,8000-11000,11000
Miss Carrie Andrews MD,F,110079824,2001-11-14,Sophomore,School of Arts and Sciences,0,0,['BS' 'SA' 'BH'],Suite,1,1,1,4000-6000,6000
Steven Hampton,M,150108770,2002-03-25,Sophomore,School of Arts and Sciences,0,1,['RA' 'BS' 'MS'],Suite,1,1,1,4000-6000,5000
Jill Martinez,F,623329199,2003-07-25,Junior,School of Arts and Sciences,0,0,['RA' 'BS' 'MH'],Suite,1,1,1,4000-6000,6000
Daisy Martinez,F,107395427,2003-11-05,Freshman,School of Arts and Sciences,1,0,['NCA' 'JS' 'SA'],Apartment,1,1,1,4000-6000,6000
Joseph Moore,M,102207078,2004-03-17,Senior,Rutgers Business School–Newark and New Brunswick,0,0,['NCA' 'BS' 'RA'],Apartment,1,1,1,4000-6000,6000
Laura Knapp,F,414191846,2005-06-11,Senior,School of Arts and Sciences,0,0,['CS' 'RA' 'BS'],Traditional Residence Hall,1,1,1,4000-6000,6000
Monique Gutierrez,F,467604662,2005-05-16,Junior,School of Social Work,0,0,['CS' 'NCA' 'BS'],Apartment,1,1,1,8000-11000,11000
Jonathon Boyd,M,145541401,2000-10-04,Freshman,School of Arts and Sciences,0,0,['BS' 'NCA' 'SA'],Apartment,1,1,1,4000-6000,6000
Sharon Mack,F,658453730,2002-02-05,Junior,School of Arts and Sciences,0,1,['MH' 'NCA' 'RA'],Apartment,1,1,1,8000-11000,10000
James Logan,M,198543782,2003-11-06,Sophomore,School of Engineering,0,1,['NCA' 'MS' 'BS'],Traditional Residence Hall,1,1,1,8000-11000,10000
Nicole Morse,F,188121861,2000-08-04,Junior,Mason Gross School of the Arts,0,0,['NCA' 'AH' 'BS'],Suite,1,0,1,4000-6000,6000
Samantha Simon,F,147108312,2002-12-30,Freshman,School of Communication and Information,0,0,['CS' 'NCA' 'BS'],Suite,1,1,0,8000-11000,11000
Alicia Smith,F,191267957,2004-01-28,Freshman,Edward J. Bloustein School of Planning and Public Policy,0,0,['MH' 'MRS' 'NCA'],Suite,1,1,1,8000-11000,11000
Daisy Moore,F,495843847,2003-06-29,Sophomore,School of Arts and Sciences,0,0,['AH' 'BS' 'RA'],Suite,1,1,1,4000-6000,6000
Donna White,F,759775963,2003-08-10,Freshman,School of Communication and Information,0,0,['NCA' 'JS' 'MS'],Suite,1,1,1,8000-11000,11000
Leslie Hernandez,F,186871110,2004-06-09,Sophomore,Mason Gross School of the Arts,0,0,['NCA' 'MZH' 'RA'],Suite,1,1,1,8000-11000,11000
Christopher Wilkins,M,994987486,2004-04-29,Freshman,School of Arts and Sciences,0,0,['SA' 'BS' 'MZH'],Apartment,1,1,1,4000-6000,6000
Allison Brown,F,207969047,2003-07-24,Junior,Mason Gross School of the Arts,0,0,['SA' 'CS' 'BS'],Apartment,1,1,1,4000-6000,6000
Jeffrey Summers,M,146784615,2004-02-12,Freshman,School of Social Work,1,1,['MZH' 'MH' 'WS'],Apartment,1,1,1,8000-11000,10000
Jordan Sullivan,F,999772970,2000-10-30,Junior,Rutgers Business School–Newark and New Brunswick,0,0,['RA' 'JS' 'MS'],Apartment,1,1,1,6000-8000,8000
Samantha Young,F,995364637,2000-12-30,Sophomore,Mason Gross School of the Arts,0,0,['NCA' 'SA' 'MZH'],Traditional Residence Hall,1,1,1,4000-6000,6000
Clayton Warner,M,435884082,2002-11-03,Freshman,School of Communication and Information,0,1,['MH' 'RA' 'NCA'],Suite,1,1,1,8000-11000,10000
Patrick Washington,M,602398007,2001-08-08,Senior,School of Social Work,0,0,['AH' 'JS' 'RA'],Suite,1,1,1,4000-6000,6000
Michael Evans,M,577167203,2004-04-28,Freshman,Rutgers Business School–Newark and New Brunswick,0,0,['SA' 'CS' 'MS'],Suite,1,1,1,8000-11000,11000
Christopher Robertson,M,258532365,2004-06-25,Freshman,School of Social Work,0,0,['TS' 'BS' 'SA'],Suite,1,0,1,6000-8000,8000
Austin Brewer,M,907679935,2001-05-02,Freshman,School of Communication and Information,0,1,['TS' 'BS' 'BH'],Apartment,1,1,1,4000-6000,5000
Dennis Brown,M,856620345,2002-02-03,Junior,School of Arts and Sciences,0,1,['SA' 'RA' 'NCA'],Suite,1,1,1,6000-8000,7000
Tyler Bell,M,163227070,2003-09-23,Sophomore,Rutgers Business School–Newark and New Brunswick,0,0,['BS' 'MH' 'NCA'],Suite,1,1,1,8000-11000,11000
Carl Mitchell,M,277802522,2003-03-09,Junior,School of Arts and Sciences,0,1,['BS' 'NCA' 'MZH'],Suite,1,1,1,6000-8000,7000
Stephen Collins,M,353538463,2002-11-27,Freshman,Mason Gross School of the Arts,0,0,['NCA' 'MH' 'BS'],Apartment,1,1,1,6000-8000,8000
Brian Hanson,M,606225837,2000-02-13,Sophomore,Edward J. Bloustein School of Planning and Public Policy,0,1,['BS' 'RA' 'MZH'],Suite,1,1,1,8000-11000,10000
Juan Richards,M,320171080,2005-08-05,Senior,School of Environmental and Biological Sciences,0,0,['CS' 'BS' 'NCA'],Suite,1,1,1,6000-8000,8000
Jason Turner,M,177739486,2000-05-10,Sophomore,School of Arts and Sciences,0,1,['RA' 'TS' 'SA'],Traditional Residence Hall,1,1,1,4000-6000,5000
