name,sex,RUID,date_of_birth,student_year,student_school,accessibility_need,low_income_status,preferred_hall_ids,preferred_residence_type,is_single_preferred,is_private_bathroom_preferred,laundry_availibility,preferred_price_range,max_price,roommate_preferences
Crystal Shaw,F,600195926,2001-09-01,Freshman,School of Communication and Information,0,1,['BS' 'SA' 'MS'],Traditional Residence Hall,1,1,1,4000-6000,5000,"[642947132, 372336408]"
Tammy Anderson,F,268185295,2000-04-19,Freshman,School of Management and Labor Relations,0,0,['BS' 'SA' 'RA'],Suite,1,1,1,4000-6000,6000,[609421482]
David Hardy,M,738483727,2001-05-02,Freshman,School of Communication and Information,0,1,['BS' 'MS' 'JS'],Suite,1,1,1,4000-6000,5000,[936805087]
Miguel Meyers,M,713551261,2005-08-31,Junior,School of Social Work,0,0,['RA' 'NCA' 'MS'],Suite,1,1,1,4000-6000,6000,"[427816198, 952139753]"
Tracy Callahan,F,310684672,2005-04-02,Sophomore,School of Arts and Sciences,0,0,['NCA' 'BS' 'SA'],Traditional Residence Hall,1,0,1,4000-6000,6000,[177417062]
William Brown,M,991029294,2002-06-01,Junior,School of Arts and Sciences,0,1,['MZH' 'NCA' 'BS'],Suite,1,1,1,4000-6000,5000,"[663612733, 517043281]"
Robert Kelley,M,357099246,2004-01-05,Sophomore,School of Communication and Information,0,0,['CS' 'RA' 'BS'],Apartment,1,1,1,4000-6000,6000,[206443565]
Crystal Patterson,F,350803471,2005-08-29,Sophomore,School of Communication and Information,0,1,['NCA' 'BH' 'SA'],Suite,1,1,1,8000-11000,10000,"[321971344, 393852617]"
Brian Morris,M,462858372,2005-09-06,Sophomore,School of Arts and Sciences,0,1,['JS' 'BS' 'CS'],Apartment,1,1,1,8000-11000,10000,"[499574971, 582606024]"
John Smith,M,856012126,2003-06-23,Freshman,School of Arts and Sciences,0,0,['SA' 'NCA' 'MS'],Suite,1,1,1,8000-11000,11000,"[904954498, 442177933]"
Christopher Grimes,M,917246780,2001-09-23,Sophomore,School of Arts and Sciences,0,1,['NCA' 'TS' 'BS'],Apartment,1,1,1,8000-11000,10000,[590358812]
Scott Watson,M,246121626,2000-10-14,Senior,School of Engineering,0,0,['WS' 'NCA' 'BS'],Apartment,1,1,0,8000-11000,11000,"[715022018, 458659162]"
Sabrina Miranda,F,342439895,2005-03-13,Junior,School of Communication and Information,1,0,['SA' 'NCA' 'RA'],Suite,1,1,1,4000-6000,6000,"[775366238, 669831116]"
Tiffany Spencer,F,351991305,2003-01-23,Sophomore,School of Management and Labor Relations,0,0,['MRS' 'NCA' 'RA'],Apartment,1,1,1,4000-6000,6000,"[953752062, 780952353]"
Jennifer Orozco,F,160759165,2003-03-09,Sophomore,School of Arts and Sciences,0,0,['RA' 'NCA' 'SA'],Suite,1,1,1,4000-6000,6000,[740643007]
David Carlson,M,365325705,2000-04-25,Senior,School of Management and Labor Relations,0,0,['BS' 'CS' 'NCA'],Traditional Residence Hall,1,1,1,8000-11000,11000,"[328994333, 280045369]"
Matthew Parker,M,755425383,2005-07-04,Freshman,School of Arts and Sciences,1,0,['TS' 'RA' 'BS'],Apartment,1,1,1,4000-6000,6000,[854001857]
Michael Stone,M,202172786,2000-09-16,Sophomore,School of Arts and Sciences,0,0,['MZH' 'BS' 'BH'],Apartment,1,1,1,6000-8000,8000,"[706418535, 914308853]"
William Donovan,M,642576593,2000-01-09,Junior,School of Arts and Sciences,0,0,['BS' 'RA' 'SA'],Apartment,1,1,1,4000-6000,6000,"[969369898, 598095282]"
Anne Hampton,F,157166920,2000-08-26,Sophomore,School of Arts and Sciences,0,1,['NCA' 'BH' 'WS'],Apartment,1,1,1,8000-11000,10000,"[582322900, 717088575]"
Karen Harvey,F,536316263,2004-02-06,Freshman,School of Arts and Sciences,0,0,['SA' 'CS' 'RA'],Apartment,1,1,1,4000-6000,6000,"[783788178, 346039345]"
Christopher Rivas,M,626633984,2003-08-14,Freshman,Mason Gross School of the Arts,0,0,['BS' 'NCA' 'SA'],Suite,1,1,1,6000-8000,8000,"[899736992, 811924974]"
Bobby White,M,142056339,1999-11-24,Junior,School of Arts and Sciences,0,0,['MRS' 'BS' 'WS'],Suite,1,1,1,4000-6000,6000,[152476322]
Joe Bennett,M,716082638,2005-01-09,Freshman,Rutgers Business School–Newark and New Brunswick,0,0,['BS' 'SA' 'MH'],Apartment,1,1,1,6000-8000,8000,"[389745977, 793034166]"
Eric Casey,M,950997823,2002-06-14,Freshman,Mason Gross School of the Arts,0,0,['BS' 'SA' 'JS'],Suite,1,1,1,4000-6000,6000,[679559511]
Lauren Perez,F,133402355,2003-08-12,Freshman,School of Arts and Sciences,0,0,['BS' 'WS' 'MH'],Traditional Residence Hall,1,1,1,8000-11000,11000,[910020139]
Shaun Ray,M,545895715,2005-02-19,Sophomore,School of Arts and Sciences,0,0,['SA' 'MRS' 'NCA'],Suite,1,1,1,8000-11000,11000,[138553855]
Kelly Johnson,F,613859072,2005-07-04,Junior,Mason Gross School of the Arts,0,1,['BS' 'NCA' 'SA'],Suite,1,1,1,6000-8000,7000,"[421419633, 348602264]"
Kathleen Anderson,F,210381155,2001-09-29,Junior,Rutgers Business School–Newark and New Brunswick,0,0,['WS' 'JS' 'SA'],Apartment,1,1,1,4000-6000,6000,[418833504]
Karen Jackson,F,382194480,2003-11-02,Freshman,Mason Gross School of the Arts,0,0,['NCA' 'MS' 'BH'],Suite,1,1,1,4000-6000,6000,[987721240]
Keith Martinez,M,390957643,2002-07-30,Sophomore,School of Arts and Sciences,0,0,['NCA' 'MRS' 'SA'],Suite,1,1,1,4000-6000,6000,"[388551534, 568360715]"
Amy Townsend,F,857725722,2004-10-20,Freshman,School of Management and Labor Relations,0,0,['BS' 'MS' 'BH'],Suite,1,1,1,8000-11000,11000,"[564427780, 498546626]"
Gabrielle Mathews,F,123339066,2003-05-01,Junior,School of Arts and Sciences,0,0,['CS' 'MZH' 'BS'],Apartment,1,1,1,6000-8000,8000,"[234275434, 817927857]"
William Gallagher,M,779369512,2004-02-15,Freshman,School of Communication and Information,0,0,['BS' 'MZH' 'MRS'],Apartment,1,1,1,4000-6000,6000,"[620084900, 599192463]"
John Meyer,M,119617580,1999-09-30,Freshman,School of Arts and Sciences,0,0,['WS' 'AH' 'RA'],Suite,1,1,1,8000-11000,11000,"[817063729, 847236365]"
Kevin Fernandez,M,409916167,2004-03-30,Freshman,School of Arts and Sciences,0,1,['BS' 'MZH' 'NCA'],Apartment,1,1,1,6000-8000,7000,"[208215020, 647260523]"
Jade Davis,F,881038684,2001-03-10,Sophomore,School of Management and Labor Relations,1,0,['JS' 'BS' 'WS'],Apartment,1,1,1,8000-11000,11000,"[337970015, 140587897]"
Kathleen Garcia,F,200127827,2003-09-02,Freshman,School of Arts and Sciences,0,1,['RA' 'AH' 'NCA'],Suite,1,1,1,4000-6000,5000,[738894997]
Tiffany Rodriguez,F,620084900,2000-06-22,Freshman,School of Engineering,0,1,['BH' 'BS' 'CS'],Apartment,1,1,0,4000-6000,5000,"[779369512, 599192463]"
Jennifer Hernandez,F,342731577,2002-07-18,Senior,Mason Gross School of the Arts,0,0,['MS' 'SA' 'NCA'],Suite,1,0,1,4000-6000,6000,"[963833726, 120860590]"
Jeanne Bowman,F,371960126,2001-08-15,Junior,School of Environmental and Biological Sciences,0,1,['TS' 'NCA' 'MZH'],Apartment,1,1,1,8000-11000,10000,"[481473512, 351743483]"
Gregory Fields,M,620801844,2004-10-24,Sophomore,School of Communication and Information,0,1,['RA' 'SA' 'MRS'],Apartment,1,1,1,4000-6000,5000,"[107753827, 582227304]"
Steven Rivera,M,335385998,2005-07-08,Sophomore,School of Arts and Sciences,0,1,['JS' 'RA' 'NCA'],Apartment,1,1,1,6000-8000,7000,"[564282999, 268116492]"
James Young,M,468661885,2000-04-10,Freshman,Mason Gross School of the Arts,0,0,['SA' 'MZH' 'BS'],Suite,1,1,1,6000-8000,8000,"[345095647, 825300072]"
Brandy Stephenson,F,849047281,2000-12-25,Freshman,School of Arts and Sciences,0,0,['RA' 'NCA' 'CS'],Traditional Residence Hall,1,1,1,6000-8000,8000,[853413072]
Aaron Hoffman,M,936260949,2003-04-27,Freshman,School of Engineering,0,0,['NCA' 'JS' 'RA'],Apartment,1,1,1,4000-6000,6000,"[328606401, 448486455]"
Mary Choi,F,861570980,2000-03-14,Freshman,School of Social Work,0,0,['SA' 'RA' 'JS'],Apartment,1,1,1,4000-6000,6000,"[900732748, 295502546]"
Dakota Stevens,M,546203599,2000-12-16,Senior,School of Communication and Information,0,1,['NCA' 'CS' 'BS'],Traditional Residence Hall,1,1,1,8000-11000,10000,[981707285]
Jason Duncan,M,526454984,1999-09-30,Senior,School of Management and Labor Relations,0,0,['MRS' 'BS' 'SA'],Apartment,1,1,1,8000-11000,11000,"[326164083, 882800579]"
John Ortega,M,944610610,2004-08-04,Freshman,Rutgers Business School–Newark and New Brunswick,0,0,['BS' 'NCA' 'RA'],Suite,1,1,1,6000-8000,8000,"[606179044, 318454514]"
Ashley Cummings,F,514101528,2001-07-19,Freshman,School of Arts and Sciences,0,0,['TS' 'JS' 'MRS'],Traditional Residence Hall,1,1,1,4000-6000,6000,"[350573414, 794340638]"
John Curtis,M,131465857,2001-05-22,Sophomore,School of Arts and Sciences,0,0,['SA' 'JS' 'NCA'],Suite,1,1,1,8000-11000,11000,"[491748900, 254873730]"
Michael Smith,M,452324563,2003-04-23,Freshman,Mason Gross School of the Arts,0,0,['MZH' 'BS' 'RA'],Traditional Residence Hall,1,1,1,4000-6000,6000,"[658939830, 873119098]"
Marco Williams,M,899836601,2004-04-13,Sophomore,School of Social Work,0,1,['RA' 'MH' 'JS'],Suite,1,1,1,8000-11000,10000,"[214871054, 551501877]"
Tina Dean,F,955922651,1999-11-26,Senior,Mason Gross School of the Arts,0,0,['CS' 'SA' 'RA'],Apartment,1,0,1,8000-11000,11000,"[344646326, 250333342]"
Daniel Walker,M,432613764,2001-01-03,Sophomore,School of Management and Labor Relations,0,1,['NCA' 'MRS' 'BS'],Apartment,1,1,1,8000-11000,10000,"[444467369, 785709051]"
Dwayne Hanson,M,342091413,2002-09-09,Freshman,Rutgers Business School–Newark and New Brunswick,0,0,['AH' 'NCA' 'RA'],Apartment,1,1,1,6000-8000,8000,"[473780846, 391770810]"
Todd Sparks,M,262271435,2002-05-29,Freshman,Rutgers Business School–Newark and New Brunswick,0,0,['NCA' 'BS' 'RA'],Apartment,1,1,1,4000-6000,6000,"[699726448, 233678163]"
James Vega,M,430462013,2004-07-12,Freshman,School of Communication and Information,0,1,['MS' 'RA' 'NCA'],Suite,1,1,1,8000-11000,10000,"[575739196, 496323972]"
Kelly Collins,F,728772735,2000-05-20,Sophomore,School of Social Work,0,0,['RA' 'BS' 'SA'],Suite,1,1,1,8000-11000,11000,[573429706]
Maureen Turner,F,412146737,2003-12-09,Freshman,School of Arts and Sciences,0,1,['JS' 'BH' 'RA'],Traditional Residence Hall,1,0,1,8000-11000,10000,"[524938822, 412876114]"
Tammy Robertson,F,886179254,2003-06-21,Freshman,School of Arts and Sciences,0,0,['SA' 'RA' 'WS'],Suite,1,1,1,8000-11000,11000,"[293239933, 865139928]"
Alyssa Lopez,F,721150919,2000-08-04,Freshman,School of Arts and Sciences,0,1,['SA' 'BS' 'NCA'],Apartment,1,1,1,4000-6000,5000,[453535867]
Jessica Brown,F,530323680,2004-11-26,Junior,School of Arts and Sciences,0,1,['NCA' 'BS' 'MZH'],Suite,1,1,1,8000-11000,10000,"[484720958, 790098344]"
Rebecca Thomas,F,264783116,2001-08-07,Freshman,School of Management and Labor Relations,0,0,['SA' 'RA' 'MZH'],Apartment,1,0,1,6000-8000,8000,"[555797314, 196646320]"
Jessica Williams,F,892654210,2000-08-03,Sophomore,School of Communication and Information,0,0,['RA' 'TS' 'MRS'],Suite,1,1,1,6000-8000,8000,[964697371]
Anthony Cooper,M,413055660,2001-09-09,Sophomore,Mason Gross School of the Arts,0,0,['NCA' 'JS' 'MS'],Suite,1,1,1,6000-8000,8000,"[942204917, 212120611]"
Jasmine Martinez,F,681157020,2001-12-05,Senior,Edward J. Bloustein School of Planning and Public Policy,0,0,['RA' 'MS' 'CS'],Suite,1,1,1,4000-6000,6000,"[392485724, 367007210]"
Wayne Navarro,M,719081138,2000-11-02,Freshman,School of Arts and Sciences,0,0,['NCA' 'BS' 'SA'],Apartment,1,1,1,8000-11000,11000,"[716198652, 576368645]"
Thomas Gross,M,397040225,2004-12-12,Freshman,Edward J. Bloustein School of Planning and Public Policy,0,1,['MH' 'BS' 'RA'],Suite,1,0,1,4000-6000,5000,[427978020]
Brittany Martin,F,413597419,2002-05-13,Junior,School of Arts and Sciences,0,0,['BS' 'NCA' 'AH'],Suite,1,1,1,6000-8000,8000,"[335182901, 304425009]"
Andrea Harris,F,311046755,2001-07-17,Freshman,School of Arts and Sciences,1,1,['BS' 'MRS' 'MS'],Apartment,1,1,0,4000-6000,5000,"[163784376, 125541577]"
Scott Lopez,M,348895194,2001-12-14,Freshman,Mason Gross School of the Arts,0,1,['SA' 'NCA' 'CS'],Apartment,1,1,1,8000-11000,10000,"[640401142, 421260399]"
David Weaver,M,879792492,2004-09-20,Sophomore,Rutgers Business School–Newark and New Brunswick,0,0,['WS' 'MH' 'BS'],Suite,1,1,1,6000-8000,8000,[340756821]
Donna Adams,F,476099783,2000-02-16,Sophomore,School of Arts and Sciences,0,0,['SA' 'BS' 'NCA'],Suite,1,1,1,8000-11000,11000,[661690620]
Cody Chavez,M,240042374,2001-10-26,Freshman,School of Management and Labor Relations,0,1,['NCA' 'BS' 'TS'],Suite,1,1,1,8000-11000,10000,"[147310670, 100822027]"
Andrea Wagner,F,146521649,2000-12-04,Freshman,School of Social Work,0,1,['MS' 'NCA' 'BS'],Traditional Residence Hall,1,1,1,4000-6000,5000,"[340592682, 975539128]"
Jon Melendez,M,441226062,2001-04-10,Junior,School of Arts and Sciences,0,1,['JS' 'MZH' 'MS'],Traditional Residence Hall,1,1,1,8000-11000,10000,"[730675816, 459022427]"
Jason Lee,M,984382799,2003-01-27,Junior,Mason Gross School of the Arts,0,1,['NCA' 'MS' 'SA'],Traditional Residence Hall,1,1,1,4000-6000,5000,[383987870]
Jenny Johnson,F,921400593,2004-09-19,Sophomore,School of Arts and Sciences,1,0,['RA' 'NCA' 'MS'],Apartment,1,1,1,4000-6000,6000,"[464627755, 532219326]"
Alexander Wright,M,688786872,2005-04-29,Sophomore,School of Arts and Sciences,0,0,['BS' 'RA' 'NCA'],Suite,1,1,1,8000-11000,11000,[766059798]
Jackie Burns,F,861258867,2000-11-07,Freshman,School of Arts and Sciences,0,0,['BS' 'MH' 'MZH'],Apartment,1,1,1,4000-6000,6000,"[903943041, 713510843]"
Rhonda Fisher,F,365478160,2005-03-06,Freshman,School of Arts and Sciences,0,0,['JS' 'MH' 'MS'],Suite,1,1,1,4000-6000,6000,[686048453]
Alexandria Anthony,F,110542411,2002-11-16,Freshman,Edward J. Bloustein School of Planning and Public Policy,0,1,['RA' 'SA' 'TS'],Traditional Residence Hall,1,1,1,6000-8000,7000,"[659140092, 754826412]"
Maxwell Miller,M,509716826,2004-11-13,Freshman,School of Arts and Sciences,0,0,['MS' 'NCA' 'MH'],Traditional Residence Hall,1,1,1,6000-8000,8000,"[594475107, 484118761]"
Todd Santiago,M,968999797,2005-04-23,Freshman,Mason Gross School of the Arts,0,0,['TS' 'NCA' 'RA'],Suite,1,1,1,4000-6000,6000,"[694125492, 315542317]"
Julia Quinn,F,529452201,2004-07-16,Freshman,School of Engineering,0,0,['CS' 'BS' 'NCA'],Suite,1,1,1,6000-8000,8000,[979343873]
Kathryn West,F,628820890,2001-06-14,Junior,School of Engineering,0,0,['BS' 'BH' 'RA'],Suite,1,1,1,8000-11000,11000,"[111064747, 106436137]"
Alison Martinez,F,175640728,2000-01-17,Sophomore,Edward J. Bloustein School of Planning and Public Policy,0,0,['NCA' 'MS' 'SA'],Suite,1,1,1,4000-6000,6000,"[301209986, 504594114]"
Billy Cruz,M,573565297,2000-01-07,Junior,School of Environmental and Biological Sciences,0,0,['SA' 'NCA' 'MZH'],Apartment,1,1,1,8000-11000,11000,[173145105]
David Morgan,M,845688026,2004-05-02,Freshman,School of Communication and Information,0,1,['BS' 'RA' 'JS'],Apartment,1,1,1,4000-6000,5000,[585525502]
Meghan Cooke,F,199465352,2005-05-21,Freshman,Rutgers Business School–Newark and New Brunswick,0,0,['CS' 'SA' 'MS'],Suite,1,1,1,4000-6000,6000,"[286034747, 840906857]"
John Austin,M,985248097,2001-06-28,Senior,School of Engineering,0,1,['CS' 'SA' 'BS'],Apartment,1,1,1,4000-6000,5000,"[279476120, 374041145]"
Andrea Kelley,F,439242325,2002-05-09,Junior,School of Arts and Sciences,0,0,['MS' 'SA' 'BS'],Suite,1,1,1,4000-6000,6000,"[322333033, 180652555]"
Darlene Marks,F,629285918,2000-06-19,Sophomore,Mason Gross School of the Arts,0,0,['NCA' 'WS' 'JS'],Apartment,1,1,1,8000-11000,11000,[211068001]
Clinton Hicks,M,183584034,2002-12-18,Junior,School of Arts and Sciences,0,0,['SA' 'MZH' 'TS'],Apartment,1,1,1,4000-6000,6000,[472443816]
Jamie Marquez,F,444854499,1999-11-27,Freshman,School of Arts and Sciences,0,0,['NCA' 'SA' 'JS'],Traditional Residence Hall,1,1,1,8000-11000,11000,[897816608]
Christopher Lawrence,M,809333679,2001-06-01,Freshman,School of Arts and Sciences,0,0,['RA' 'NCA' 'WS'],Suite,1,1,1,8000-11000,11000,[133015615]
Tyler Shelton,M,313074714,1999-10-02,Junior,School of Arts and Sciences,0,1,['BS' 'TS' 'AH'],Apartment,1,1,1,4000-6000,5000,[169716479]
Larry Thornton,M,541666149,2003-05-07,Freshman,School of Arts and Sciences,0,0,['TS' 'JS' 'NCA'],Apartment,1,1,1,6000-8000,8000,"[811596557, 228963027]"
Lisa Reilly,F,988256337,2000-08-26,Freshman,Mason Gross School of the Arts,0,0,['SA' 'NCA' 'BS'],Traditional Residence Hall,1,1,1,4000-6000,6000,"[172620342, 274688180]"
Robert Green,M,644601053,2004-12-26,Sophomore,School of Arts and Sciences,0,1,['NCA' 'SA' 'MRS'],Apartment,1,1,1,4000-6000,5000,[277940148]
Aaron Hodges,M,958966664,2005-09-13,Freshman,Mason Gross School of the Arts,0,0,['BS' 'WS' 'NCA'],Suite,1,1,1,4000-6000,6000,[962442220]
Shane Bush,M,284479466,2005-03-12,Sophomore,School of Arts and Sciences,0,1,['RA' 'SA' 'TS'],Apartment,1,1,1,8000-11000,10000,"[268066171, 640588163]"
Kelly Collins,F,744139505,2004-04-06,Freshman,Mason Gross School of the Arts,0,0,['RA' 'NCA' 'SA'],Traditional Residence Hall,1,1,1,8000-11000,11000,[500422506]
Lauren Smith,F,231695149,2000-04-18,Freshman,School of Management and Labor Relations,0,0,['BH' 'TS' 'BS'],Apartment,1,1,1,4000-6000,6000,"[753619951, 282182238]"
Kristen Moody,F,130705491,2000-10-16,Freshman,School of Arts and Sciences,0,0,['WS' 'BS' 'MH'],Suite,1,1,1,8000-11000,11000,"[103303727, 817898343]"
April Flores,F,808006713,2004-06-21,Sophomore,School of Arts and Sciences,0,1,['RA' 'MZH' 'NCA'],Apartment,1,1,1,4000-6000,5000,[498712421]
Lisa Gray,F,906063862,2000-12-21,Junior,School of Arts and Sciences,0,0,['BS' 'MS' 'SA'],Apartment,1,1,1,4000-6000,6000,"[239066842, 804151341]"
Cheryl Cochran,F,172397068,2005-07-21,Senior,School of Management and Labor Relations,0,0,['NCA' 'MS' 'SA'],Suite,1,1,1,4000-6000,6000,"[244977222, 107252633]"
Logan Anderson,M,884350912,2004-03-05,Senior,School of Management and Labor Relations,1,0,['BS' 'NCA' 'CS'],Suite,1,1,1,8000-11000,11000,[251922821]
Barbara Lynch,F,134579356,2004-11-25,Junior,Mason Gross School of the Arts,0,0,['MS' 'NCA' 'MZH'],Suite,1,1,1,6000-8000,8000,[103799962]
Ashley Brady,F,889513752,2001-05-26,Sophomore,School of Management and Labor Relations,0,1,['BS' 'MZH' 'MH'],Suite,1,1,1,6000-8000,7000,"[133766120, 197145159]"
Shane Castaneda,M,757897796,2003-02-17,Freshman,School of Arts and Sciences,0,0,['RA' 'BS' 'JS'],Traditional Residence Hall,1,0,1,8000-11000,11000,"[907471373, 987316207]"
Lauren Weeks,F,654091819,2001-08-22,Freshman,School of Arts and Sciences,0,1,['TS' 'AH' 'NCA'],Suite,1,1,0,4000-6000,5000,"[334532220, 147170411]"
Donna Williams,F,666299598,2002-03-16,Freshman,School of Arts and Sciences,0,0,['NCA' 'MH' 'BS'],Suite,1,1,1,6000-8000,8000,"[759147075, 505881518]"
Robert Scott,M,348822400,1999-12-28,Junior,Rutgers Business School–Newark and New Brunswick,0,1,['MZH' 'MH' 'BS'],Traditional Residence Hall,1,1,0,6000-8000,7000,"[251061487, 778065337]"
Mr. Kevin Mitchell,M,565643902,2005-06-15,Freshman,Mason Gross School of the Arts,0,0,['WS' 'CS' 'NCA'],Suite,1,1,1,8000-11000,11000,[902278189]
Brenda Brown,F,513755416,2002-01-06,Freshman,School of Communication and Information,0,0,['NCA' 'BS' 'SA'],Suite,1,1,1,8000-11000,11000,"[271574323, 244026434]"
Carrie Chase,F,615758564,2003-03-03,Sophomore,School of Arts and Sciences,0,1,['JS' 'BS' 'SA'],Traditional Residence Hall,1,1,1,8000-11000,10000,[249317349]
Dr. Earl Torres,M,350695937,2000-09-03,Senior,School of Arts and Sciences,0,0,['AH' 'MRS' 'SA'],Apartment,1,1,1,4000-6000,6000,"[420271442, 529712878]"
Edwin Meza,M,885161069,2002-06-10,Sophomore,School of Communication and Information,0,1,['MS' 'RA' 'NCA'],Apartment,1,1,1,8000-11000,10000,"[425877556, 303504332]"
James Gibson,M,409683444,2004-11-23,Sophomore,School of Arts and Sciences,0,0,['NCA' 'WS' 'TS'],Suite,1,0,1,4000-6000,6000,"[359307787, 508728960]"
Dr. Douglas Padilla,M,570491581,2001-08-12,Freshman,School of Environmental and Biological Sciences,0,0,['NCA' 'RA' 'JS'],Suite,1,1,1,8000-11000,11000,"[998171404, 279805622]"
Douglas Trevino,M,266046109,2005-04-08,Sophomore,School of Communication and Information,0,0,['NCA' 'RA' 'BS'],Apartment,1,1,1,4000-6000,6000,"[918486596, 523389983]"
Amy Smith,F,614575189,2004-08-16,Junior,School of Arts and Sciences,0,0,['AH' 'MRS' 'JS'],Suite,1,0,1,6000-8000,8000,"[999671521, 807610790]"
Tricia Hopkins,F,525258875,2000-04-29,Junior,School of Communication and Information,0,0,['BH' 'MZH' 'BS'],Apartment,1,1,1,8000-11000,11000,"[518852400, 619605283]"
Megan Mooney,F,454304640,2000-06-21,Junior,School of Communication and Information,0,0,['TS' 'NCA' 'WS'],Traditional Residence Hall,1,1,1,8000-11000,11000,"[503103737, 950051532]"
Laura Sharp,F,651977210,2001-01-03,Junior,School of Arts and Sciences,0,0,['SA' 'MZH' 'NCA'],Traditional Residence Hall,1,0,1,6000-8000,8000,"[912969098, 428864517]"
Meghan Morgan,F,269559800,2004-01-10,Freshman,Edward J. Bloustein School of Planning and Public Policy,0,1,['TS' 'RA' 'SA'],Apartment,1,1,1,6000-8000,7000,[347071254]
Angelica Petty,F,954189190,2001-11-27,Freshman,Rutgers Business School–Newark and New Brunswick,0,1,['MZH' 'BS' 'NCA'],Traditional Residence Hall,1,1,1,6000-8000,7000,"[183972161, 753468570]"
Ronald Walter,M,152154593,2005-03-25,Sophomore,School of Engineering,0,1,['BS' 'MH' 'RA'],Apartment,1,1,1,8000-11000,10000,[506551018]
Mary Gonzalez,F,379318721,2003-11-16,Junior,School of Arts and Sciences,0,0,['MRS' 'MH' 'NCA'],Apartment,1,1,1,4000-6000,6000,[963511946]
Cesar Beltran,M,902550599,2005-09-15,Junior,School of Social Work,0,0,['TS' 'BH' 'RA'],Traditional Residence Hall,1,1,1,8000-11000,11000,"[182721563, 769364018]"
Meghan Frey,F,311496925,2003-01-26,Freshman,Edward J. Bloustein School of Planning and Public Policy,0,0,['MS' 'SA' 'MZH'],Suite,1,1,1,8000-11000,11000,[598390833]
Robin Johnson,F,725867171,2005-08-14,Junior,Edward J. Bloustein School of Planning and Public Policy,1,0,['RA' 'MZH' 'TS'],Suite,1,0,1,4000-6000,6000,"[541548478, 375234462]"
Crystal Blair,F,594262393,2003-11-26,Freshman,School of Arts and Sciences,0,0,['SA' 'JS' 'BS'],Apartment,1,1,1,8000-11000,11000,[114942167]
Sabrina Callahan DDS,F,940755971,2000-08-20,Sophomore,School of Engineering,0,0,['SA' 'WS' 'MZH'],Suite,1,1,1,4000-6000,6000,"[313187457, 976483551]"
Jennifer Meyer,F,125949249,2001-01-30,Freshman,School of Arts and Sciences,0,0,['SA' 'NCA' 'MRS'],Apartment,1,1,1,4000-6000,6000,"[699492318, 631914558]"
Bradley Garcia,M,492931233,2001-07-16,Junior,Mason Gross School of the Arts,0,0,['MS' 'SA' 'BS'],Apartment,1,1,0,6000-8000,8000,[230212568]
Shawn Schroeder,M,301438161,2003-11-18,Freshman,School of Social Work,0,0,['CS' 'BS' 'SA'],Traditional Residence Hall,1,1,1,4000-6000,6000,[904570346]
Matthew Brooks MD,M,246916741,2001-04-06,Sophomore,School of Arts and Sciences,0,1,['NCA' 'TS' 'BS'],Traditional Residence Hall,1,1,1,4000-6000,5000,[614082156]
Beth Turner,F,174938244,2003-10-06,Freshman,School of Arts and Sciences,0,0,['TS' 'MS' 'MZH'],Suite,1,1,1,4000-6000,6000,[318517607]
Jacqueline Perez,F,738837616,2003-09-03,Sophomore,Edward J. Bloustein School of Planning and Public Policy,0,1,['MRS' 'JS' 'NCA'],Suite,1,1,1,8000-11000,10000,[223184670]
Elizabeth Paul,F,982423525,2004-01-12,Sophomore,Rutgers Business School–Newark and New Brunswick,0,0,['BH' 'MH' 'MZH'],Apartment,1,1,1,4000-6000,6000,"[711813602, 630873598]"
Taylor Michael,M,777288688,2001-12-26,Sophomore,Rutgers Business School–Newark and New Brunswick,0,0,['SA' 'NCA' 'BS'],Traditional Residence Hall,1,1,1,6000-8000,8000,"[386634671, 854749920]"
Scott West,M,568954827,2005-07-11,Freshman,Mason Gross School of the Arts,0,1,['MS' 'NCA' 'MZH'],Suite,1,1,1,8000-11000,10000,[477793015]
Mr. Marco Ortega DVM,M,488050807,2001-09-11,Junior,School of Arts and Sciences,0,0,['MZH' 'BS' 'RA'],Apartment,1,1,0,4000-6000,6000,"[845118438, 258690814]"
Amanda Blake,F,882565615,2004-11-01,Junior,School of Arts and Sciences,1,0,['MRS' 'NCA' 'JS'],Traditional Residence Hall,1,1,1,4000-6000,6000,"[348392459, 421952236]"
Maurice Hoffman,M,941080191,2003-05-24,Junior,Mason Gross School of the Arts,0,1,['BS' 'RA' 'SA'],Traditional Residence Hall,1,1,1,6000-8000,7000,"[878399075, 103948961]"
Brendan Patton,M,293239933,2005-08-11,Junior,Mason Gross School of the Arts,0,1,['NCA' 'BS' 'RA'],Suite,1,1,1,4000-6000,5000,"[886179254, 865139928]"
Kyle Willis,M,172478512,2004-05-09,Freshman,School of Arts and Sciences,0,0,['MRS' 'SA' 'NCA'],Suite,1,1,1,6000-8000,8000,"[740712867, 906818174]"
Dennis Miller,M,624249421,1999-11-08,Freshman,School of Arts and Sciences,0,0,['JS' 'SA' 'NCA'],Traditional Residence Hall,1,1,1,4000-6000,6000,"[346926236, 883572403]"
Katherine Hernandez,F,384684579,2002-10-14,Senior,School of Environmental and Biological Sciences,0,0,['MRS' 'NCA' 'BS'],Apartment,1,1,1,8000-11000,11000,[277386075]
