,name,sex,RUID,date_of_birth,student_year,student_school,accessibility_need,low_income_status,preferred_hall_ids,preferred_residence_type,is_single_preferred,is_private_bathroom_preferred,laundry_availibility,preferred_price_range,max_price
1189,Christopher Anderson,M,676285236,2000-01-09,Freshman,Mason Gross School of the Arts,0,0,['RA' 'MS' 'BS'],Suite,1,1,1,4000-6000,6000
1190,Teresa Webster,F,266929253,2000-10-06,Sophomore,Mason Gross School of the Arts,0,0,['MS' 'NCA' 'SA'],Apartment,1,1,1,6000-8000,8000
1191,John Allen,M,494820543,2002-11-14,Freshman,School of Management and Labor Relations,0,0,['SA' 'BS' 'MS'],Traditional Residence Hall,1,1,1,4000-6000,6000
1192,Hannah Santos,F,608645789,2003-04-07,Freshman,School of Engineering,0,1,['MS' 'BS' 'RA'],Suite,1,1,1,8000-11000,10000
1193,Jesse Moore,M,143813147,2001-11-02,Freshman,School of Arts and Sciences,0,0,['NCA' 'WS' 'BS'],Suite,1,1,1,8000-11000,11000
1194,Anne Shah,F,319067326,2001-08-30,Sophomore,Edward J. Bloustein School of Planning and Public Policy,0,0,['RA' 'BS' 'NCA'],Traditional Residence Hall,1,1,1,4000-6000,6000
1195,Jeff Anderson,M,151637469,2005-02-22,Freshman,School of Arts and Sciences,0,0,['JS' 'BS' 'BH'],Suite,1,1,1,4000-6000,6000
1196,Theresa Taylor,F,668947277,2000-02-28,Sophomore,School of Social Work,0,0,['MS' 'SA' 'NCA'],Suite,1,1,0,8000-11000,11000
1197,Ashley Tapia,F,625663325,2000-01-14,Sophomore,School of Arts and Sciences,0,1,['RA' 'SA' 'BS'],Suite,1,1,1,6000-8000,7000
1198,James Collins,M,534144488,2002-11-11,Freshman,School of Arts and Sciences,1,0,['NCA' 'CS' 'JS'],Apartment,1,1,1,6000-8000,8000
1199,Charles Wallace,M,780161038,2000-12-19,Sophomore,School of Arts and Sciences,0,0,['BS' 'RA' 'TS'],Suite,1,1,1,6000-8000,8000
1200,Patrick Price,M,360104672,2004-04-19,Sophomore,Rutgers Business School–Newark and New Brunswick,0,1,['SA' 'RA' 'MH'],Traditional Residence Hall,1,1,1,8000-11000,10000
1201,Dennis Anderson,M,534545792,2005-09-15,Freshman,Rutgers Business School–Newark and New Brunswick,0,0,['BS' 'NCA' 'RA'],Apartment,1,1,1,4000-6000,6000
1202,Amy Williamson,F,543849832,2002-06-28,Junior,Edward J. Bloustein School of Planning and Public Policy,0,0,['JS' 'BS' 'NCA'],Suite,1,1,1,6000-8000,8000
1203,Mindy Mitchell,F,154294078,1999-10-11,Junior,School of Arts and Sciences,0,0,['NCA' 'AH' 'BS'],Apartment,1,1,0,8000-11000,11000
1204,Shannon Gonzales,F,336695725,2001-07-07,Freshman,School of Arts and Sciences,0,1,['MS' 'BS' 'NCA'],Suite,1,1,1,8000-11000,10000
1205,Dwayne Davis,M,520618112,2003-12-12,Freshman,School of Engineering,0,1,['BS' 'RA' 'JS'],Suite,1,1,1,4000-6000,5000
1206,Thomas Patterson,M,212058246,2005-01-05,Sophomore,School of Engineering,0,1,['CS' 'TS' 'BS'],Apartment,1,1,1,4000-6000,5000
1207,Kimberly Rivera,F,825884806,1999-11-08,Freshman,School of Arts and Sciences,0,0,['MZH' 'BS' 'CS'],Suite,1,1,1,4000-6000,6000
1208,Brett Bush,M,291741886,2002-05-12,Freshman,Rutgers Business School–Newark and New Brunswick,0,0,['AH' 'SA' 'BS'],Apartment,1,1,1,4000-6000,6000
1209,Bill Li,M,126039437,2001-11-30,Junior,School of Social Work,0,0,['SA' 'RA' 'MS'],Apartment,1,0,1,4000-6000,6000
1210,Matthew Rogers,M,720797224,2004-01-17,Sophomore,School of Arts and Sciences,0,1,['BS' 'BH' 'NCA'],Suite,1,1,1,8000-11000,10000
1211,Victoria Graham,F,364779964,2005-04-16,Junior,School of Communication and Information,1,0,['SA' 'BS' 'RA'],Traditional Residence Hall,1,1,1,4000-6000,6000
1212,Autumn Williams,F,101476302,2002-11-21,Freshman,School of Communication and Information,0,0,['JS' 'MZH' 'BS'],Traditional Residence Hall,1,1,1,4000-6000,6000
1213,Matthew Mendoza,M,299160327,2003-11-15,Junior,Rutgers Business School–Newark and New Brunswick,0,0,['CS' 'MS' 'WS'],Traditional Residence Hall,1,1,1,4000-6000,6000
1214,Amy Osborne,F,470147036,2000-07-13,Senior,School of Management and Labor Relations,0,0,['RA' 'BH' 'BS'],Apartment,1,1,1,4000-6000,6000
1215,Jennifer Robinson,F,116359115,2000-09-21,Sophomore,School of Environmental and Biological Sciences,0,0,['MS' 'BS' 'RA'],Apartment,1,1,1,4000-6000,6000
1216,Andres Marquez,M,849828061,2003-03-01,Senior,School of Communication and Information,0,0,['NCA' 'RA' 'MRS'],Traditional Residence Hall,1,1,0,4000-6000,6000
1217,Jason Fry,M,724393247,2004-08-25,Freshman,School of Arts and Sciences,0,0,['NCA' 'SA' 'RA'],Apartment,1,1,1,6000-8000,8000
1218,Richard Park,M,414826839,2001-12-04,Freshman,School of Arts and Sciences,0,0,['MRS' 'BS' 'NCA'],Suite,1,1,1,4000-6000,6000
1219,Bobby Smith,M,872949218,2002-07-27,Freshman,School of Arts and Sciences,0,0,['MRS' 'SA' 'BS'],Suite,1,1,1,4000-6000,6000
1220,Michelle Reid,F,477378149,2000-11-29,Freshman,Mason Gross School of the Arts,1,0,['CS' 'BS' 'MS'],Suite,1,1,1,6000-8000,8000
1221,Ryan James,M,346356873,2005-08-07,Sophomore,School of Communication and Information,0,0,['MZH' 'SA' 'BH'],Suite,1,1,1,8000-11000,11000
1222,Mr. Bryan Bridges,M,423341141,2000-03-19,Sophomore,Edward J. Bloustein School of Planning and Public Policy,0,0,['CS' 'MS' 'JS'],Suite,1,1,1,4000-6000,6000
1223,Paul Taylor,M,870787939,2005-06-20,Freshman,Mason Gross School of the Arts,0,0,['JS' 'MS' 'MRS'],Traditional Residence Hall,1,1,1,8000-11000,11000
1224,Melinda Williams,F,531631169,2002-05-10,Sophomore,Mason Gross School of the Arts,0,0,['MS' 'SA' 'TS'],Traditional Residence Hall,1,1,1,8000-11000,11000
1225,Daniel Terry,M,140216572,2001-02-01,Sophomore,School of Arts and Sciences,0,0,['BH' 'SA' 'TS'],Apartment,1,1,1,4000-6000,6000
1226,David White,M,247676520,2005-09-23,Freshman,School of Arts and Sciences,0,1,['MH' 'MRS' 'BS'],Suite,1,1,0,4000-6000,5000
1227,Erica Gentry,F,691205589,2005-06-13,Sophomore,School of Environmental and Biological Sciences,1,1,['BS' 'MH' 'NCA'],Suite,1,1,1,4000-6000,5000
1228,Daniel Ruiz,M,226778334,2004-09-04,Sophomore,School of Communication and Information,0,0,['NCA' 'MH' 'CS'],Apartment,1,1,1,6000-8000,8000
1229,Jermaine Andrews,M,222642297,2005-01-15,Senior,Mason Gross School of the Arts,0,1,['MRS' 'RA' 'NCA'],Suite,1,1,1,6000-8000,7000
1230,Lauren Jensen,F,135660932,2002-09-11,Sophomore,Rutgers Business School–Newark and New Brunswick,0,0,['JS' 'AH' 'BS'],Suite,1,1,1,4000-6000,6000
1231,Crystal Whitney,F,401463884,2003-12-14,Freshman,School of Arts and Sciences,0,1,['CS' 'MZH' 'AH'],Traditional Residence Hall,1,1,1,8000-11000,10000
1232,Anthony Thomas,M,993564702,2005-03-26,Senior,School of Arts and Sciences,0,0,['MH' 'NCA' 'BS'],Suite,1,1,1,8000-11000,11000
1233,Tina Camacho,F,963400154,2002-07-03,Junior,School of Engineering,0,0,['RA' 'SA' 'BS'],Apartment,1,1,1,4000-6000,6000
1234,Sean Allen,M,271203624,2003-11-27,Sophomore,School of Arts and Sciences,0,0,['MZH' 'BH' 'BS'],Suite,1,1,1,6000-8000,8000
1235,Samantha Williams,F,552478150,2004-03-09,Freshman,School of Environmental and Biological Sciences,0,0,['NCA' 'RA' 'BS'],Apartment,1,1,1,8000-11000,11000
1236,Alyssa Bradley,F,249266279,2002-05-02,Sophomore,Rutgers Business School–Newark and New Brunswick,0,0,['BS' 'MS' 'BH'],Apartment,1,1,1,4000-6000,6000
1237,Patrick Johnson,M,878315075,2000-06-27,Sophomore,School of Arts and Sciences,0,1,['JS' 'BS' 'MZH'],Traditional Residence Hall,1,1,1,8000-11000,10000
1238,Deanna Gray,F,902062407,2001-07-25,Junior,School of Communication and Information,0,0,['BS' 'RA' 'BH'],Suite,1,1,1,4000-6000,6000
1239,Jason Lamb Jr.,M,878769526,2003-03-23,Junior,School of Social Work,0,0,['RA' 'BS' 'NCA'],Apartment,1,1,1,8000-11000,11000
1240,Katherine Young,F,975389181,2002-02-27,Freshman,School of Arts and Sciences,0,0,['RA' 'AH' 'BS'],Suite,1,1,1,8000-11000,11000
1241,Margaret Herring,F,277358541,2004-12-16,Freshman,School of Arts and Sciences,0,1,['CS' 'BS' 'MS'],Suite,1,1,1,4000-6000,5000
1242,Charles Li,M,355102246,2002-06-10,Senior,School of Arts and Sciences,0,0,['BS' 'RA' 'MS'],Apartment,1,1,1,8000-11000,11000
1243,Traci Stevenson,F,194069158,2001-03-11,Freshman,School of Arts and Sciences,0,0,['CS' 'SA' 'NCA'],Apartment,1,1,1,4000-6000,6000
1244,Michael Jensen,M,336820978,2004-07-19,Junior,School of Arts and Sciences,0,0,['SA' 'MH' 'NCA'],Apartment,1,1,1,4000-6000,6000
1245,Victor Schmidt,M,316945605,2000-11-02,Freshman,School of Communication and Information,0,0,['JS' 'MS' 'RA'],Suite,1,1,1,4000-6000,6000
1246,Jeffrey Gross,M,829363938,2000-09-29,Freshman,School of Environmental and Biological Sciences,0,1,['MRS' 'MH' 'SA'],Suite,1,0,1,4000-6000,5000
1247,Ronald Smith,M,149863921,1999-11-11,Sophomore,School of Arts and Sciences,0,0,['SA' 'NCA' 'MRS'],Apartment,1,1,1,8000-11000,11000
1248,Jason Dougherty,M,671114901,2005-03-03,Senior,Rutgers Business School–Newark and New Brunswick,0,1,['CS' 'NCA' 'MS'],Apartment,1,1,1,6000-8000,7000
1249,Shane Choi,M,128246651,2001-07-28,Junior,School of Social Work,0,0,['NCA' 'BS' 'JS'],Suite,1,1,1,6000-8000,8000
1250,Julia Barr,F,191886708,2003-03-31,Sophomore,School of Engineering,0,0,['RA' 'SA' 'JS'],Apartment,1,0,1,8000-11000,11000
1251,Edward Le,M,956987962,2001-08-18,Junior,School of Arts and Sciences,0,0,['MH' 'NCA' 'BS'],Apartment,1,1,1,8000-11000,11000
1252,Melissa Miller,F,995504461,2002-01-26,Freshman,School of Arts and Sciences,0,0,['TS' 'MZH' 'AH'],Suite,1,1,1,4000-6000,6000
1253,Ryan Rodriguez,M,664748940,2003-01-09,Junior,Mason Gross School of the Arts,0,0,['BS' 'MH' 'MRS'],Apartment,1,1,1,6000-8000,8000
1254,Keith Stewart,M,264553111,2003-11-27,Senior,School of Arts and Sciences,0,1,['BS' 'MRS' 'MZH'],Apartment,1,1,1,8000-11000,10000
1255,Stephanie Mejia,F,476710872,2001-10-15,Freshman,School of Social Work,0,0,['MZH' 'NCA' 'MRS'],Apartment,1,1,1,8000-11000,11000
1256,Matthew Andrews,M,835437591,2002-10-13,Sophomore,School of Engineering,0,1,['BS' 'NCA' 'RA'],Suite,1,1,1,4000-6000,5000
1257,William Williams,M,812533013,2005-08-31,Sophomore,School of Social Work,0,0,['MZH' 'SA' 'TS'],Traditional Residence Hall,1,1,1,6000-8000,8000
1258,Amanda Reynolds,F,744113832,2003-11-21,Junior,Mason Gross School of the Arts,0,0,['AH' 'MRS' 'SA'],Traditional Residence Hall,1,1,1,8000-11000,11000
1259,Jackie Miller,F,802684186,2001-09-16,Freshman,School of Management and Labor Relations,0,0,['NCA' 'RA' 'BH'],Apartment,1,1,1,4000-6000,6000
1260,Angela Butler,F,574491534,2002-05-04,Junior,Rutgers Business School–Newark and New Brunswick,1,0,['MS' 'SA' 'BS'],Apartment,1,1,1,4000-6000,6000
1261,Alan Beck,M,849349818,2003-02-05,Freshman,School of Arts and Sciences,0,1,['SA' 'RA' 'NCA'],Apartment,1,1,1,4000-6000,5000
1262,Rebekah Tucker,F,978699505,2003-01-21,Freshman,Edward J. Bloustein School of Planning and Public Policy,0,1,['NCA' 'CS' 'BS'],Suite,1,1,1,4000-6000,5000
1263,Chris Braun,M,525619634,2004-01-31,Sophomore,Mason Gross School of the Arts,0,0,['RA' 'SA' 'MH'],Apartment,1,1,1,8000-11000,11000
1264,John Duncan,M,543227256,2003-10-05,Sophomore,Mason Gross School of the Arts,0,0,['MZH' 'SA' 'RA'],Apartment,1,1,1,8000-11000,11000
1265,Ronald Jackson,M,880535533,1999-10-19,Sophomore,School of Environmental and Biological Sciences,0,0,['BS' 'SA' 'MS'],Suite,1,1,1,6000-8000,8000
1266,William Lynch,M,406151529,2003-11-25,Freshman,Mason Gross School of the Arts,0,1,['SA' 'BS' 'NCA'],Traditional Residence Hall,1,0,1,4000-6000,5000
1267,Kelly Clements,F,981443977,2005-06-15,Sophomore,School of Arts and Sciences,0,0,['SA' 'RA' 'MZH'],Suite,1,1,1,8000-11000,11000
1268,Nicholas Flores,M,537767493,2000-03-08,Freshman,Rutgers Business School–Newark and New Brunswick,0,0,['BS' 'MH' 'RA'],Suite,1,1,1,6000-8000,8000
1269,Stephanie Smith,F,224437466,2005-02-07,Sophomore,School of Engineering,0,0,['AH' 'TS' 'NCA'],Suite,1,1,1,4000-6000,6000
1270,Matthew Carpenter,M,804867017,2002-10-27,Freshman,School of Environmental and Biological Sciences,0,0,['BS' 'TS' 'RA'],Suite,1,1,1,8000-11000,11000
1271,Sheila Sanders,F,619974429,2004-01-24,Sophomore,Mason Gross School of the Arts,0,0,['MH' 'MRS' 'RA'],Apartment,1,1,1,6000-8000,8000
1272,Mr. Jorge Bailey,M,916110099,2005-07-27,Senior,School of Communication and Information,0,1,['MRS' 'BS' 'SA'],Apartment,1,1,1,4000-6000,5000
1273,Kevin Li,M,364964599,2002-08-08,Sophomore,School of Engineering,0,1,['AH' 'NCA' 'SA'],Suite,1,1,1,6000-8000,7000
1274,Rick Taylor,M,486934044,2000-10-16,Sophomore,School of Engineering,0,0,['NCA' 'BS' 'SA'],Suite,1,1,1,6000-8000,8000
1275,Erika Smith,F,763865233,2003-09-22,Freshman,Rutgers Business School–Newark and New Brunswick,0,0,['MS' 'BH' 'RA'],Apartment,1,1,1,6000-8000,8000
1276,Sandra Riley,F,689595927,2000-09-06,Senior,School of Arts and Sciences,0,0,['MS' 'NCA' 'MH'],Suite,1,1,1,4000-6000,6000
1277,John Allen,M,803720931,2004-07-07,Freshman,School of Arts and Sciences,0,0,['MH' 'CS' 'MS'],Apartment,1,1,1,4000-6000,6000
1278,Karl Vazquez,M,143271046,2005-04-23,Freshman,School of Arts and Sciences,0,0,['MRS' 'BS' 'NCA'],Suite,1,1,1,4000-6000,6000
1279,Virginia Perez,F,873144764,2004-02-24,Freshman,School of Arts and Sciences,0,1,['BS' 'RA' 'MS'],Suite,1,1,1,4000-6000,5000
1280,Maria Holland,F,836787446,2004-09-19,Sophomore,School of Management and Labor Relations,0,1,['SA' 'MZH' 'BS'],Suite,1,1,1,4000-6000,5000
1281,Anne Shelton,F,424257822,2000-01-14,Freshman,School of Arts and Sciences,0,0,['SA' 'MS' 'BS'],Apartment,1,1,1,6000-8000,8000
1282,John Larson,M,363434086,2001-06-24,Sophomore,School of Engineering,1,0,['BS' 'CS' 'RA'],Traditional Residence Hall,1,1,1,4000-6000,6000
1283,Joseph Stevenson,M,517981361,1999-12-01,Freshman,School of Arts and Sciences,0,1,['CS' 'AH' 'MH'],Apartment,1,1,1,8000-11000,10000
1284,Jason Vincent,M,723829970,2000-04-19,Sophomore,School of Social Work,0,1,['JS' 'SA' 'BH'],Suite,1,1,1,4000-6000,5000
1285,Susan Rojas,F,726057589,2004-05-04,Freshman,Edward J. Bloustein School of Planning and Public Policy,0,1,['SA' 'MH' 'WS'],Apartment,1,1,0,8000-11000,10000
1286,Adam Russell,M,764214075,1999-11-14,Junior,Edward J. Bloustein School of Planning and Public Policy,1,0,['MS' 'SA' 'BS'],Suite,1,1,0,8000-11000,11000
1287,Luis Herrera,M,255294361,2001-03-26,Sophomore,School of Arts and Sciences,0,0,['RA' 'BS' 'SA'],Suite,1,1,1,4000-6000,6000
1288,Edward Terrell,M,282962918,2002-06-01,Freshman,Edward J. Bloustein School of Planning and Public Policy,0,0,['SA' 'NCA' 'BH'],Suite,1,1,1,4000-6000,6000
1289,Paul Thomas,M,788144917,2004-11-22,Sophomore,Rutgers Business School–Newark and New Brunswick,0,0,['SA' 'NCA' 'BS'],Suite,1,1,1,6000-8000,8000
1290,Tiffany Fitzpatrick,F,916438751,2002-08-24,Freshman,School of Arts and Sciences,0,0,['SA' 'NCA' 'AH'],Apartment,1,1,1,4000-6000,6000
1291,Monica Patel,F,912139217,2000-08-18,Sophomore,School of Arts and Sciences,0,0,['SA' 'MH' 'BH'],Suite,1,1,1,8000-11000,11000
1292,Gary Baker,M,968124998,2004-06-26,Sophomore,School of Arts and Sciences,0,0,['MS' 'JS' 'RA'],Traditional Residence Hall,1,0,1,4000-6000,6000
1293,Victoria Pierce,F,412448868,2005-02-04,Junior,School of Arts and Sciences,0,0,['BS' 'MS' 'SA'],Traditional Residence Hall,1,1,1,8000-11000,11000
1294,Angela Sims,F,212181889,2000-01-07,Freshman,Mason Gross School of the Arts,0,1,['BS' 'MZH' 'SA'],Suite,1,1,1,4000-6000,5000
1295,Peter Jones,M,289899804,2005-07-12,Freshman,School of Arts and Sciences,0,0,['NCA' 'BS' 'AH'],Apartment,1,1,1,6000-8000,8000
1296,Amy Wolfe DVM,F,362208269,2004-11-24,Freshman,Rutgers Business School–Newark and New Brunswick,0,0,['BS' 'SA' 'WS'],Apartment,1,0,1,4000-6000,6000
1297,Rachel Jones,F,349343178,2003-08-08,Junior,Mason Gross School of the Arts,0,1,['BS' 'MH' 'NCA'],Traditional Residence Hall,1,1,1,4000-6000,5000
1298,David Harmon,M,473017320,2001-01-19,Freshman,Rutgers Business School–Newark and New Brunswick,0,0,['BS' 'MS' 'RA'],Apartment,1,1,1,6000-8000,8000
1299,Rachel George,F,721875213,2001-06-22,Junior,School of Arts and Sciences,0,0,['BH' 'CS' 'BS'],Suite,1,0,1,8000-11000,11000
1300,Heather Manning,F,951764016,2003-03-21,Freshman,School of Arts and Sciences,0,0,['SA' 'BS' 'TS'],Suite,1,1,1,6000-8000,8000
1301,Rachel Leach,F,231351920,2003-11-29,Freshman,School of Arts and Sciences,0,1,['MS' 'RA' 'JS'],Apartment,1,1,1,8000-11000,10000
1302,Bernard Foley,M,697842058,2001-09-06,Junior,School of Communication and Information,1,0,['MH' 'NCA' 'SA'],Apartment,1,0,1,8000-11000,11000
1303,Jose Burns,M,309415146,2000-04-01,Freshman,School of Management and Labor Relations,0,0,['MS' 'AH' 'SA'],Apartment,1,1,1,8000-11000,11000
1304,Jessica Johnson,F,995140215,2003-11-09,Freshman,Mason Gross School of the Arts,0,0,['SA' 'BS' 'MZH'],Suite,1,0,1,8000-11000,11000
1305,Amy Parker,F,916203565,2003-07-31,Freshman,School of Arts and Sciences,0,1,['WS' 'SA' 'BS'],Suite,1,1,1,8000-11000,10000
1306,Megan Rodriguez,F,870891060,2005-09-13,Sophomore,School of Management and Labor Relations,0,1,['BS' 'MZH' 'MRS'],Suite,1,1,1,8000-11000,10000
1307,Kathryn Wright,F,313825475,2002-03-26,Sophomore,School of Engineering,0,0,['RA' 'MS' 'SA'],Suite,1,1,1,8000-11000,11000
1308,David Cameron,M,557235935,2002-12-28,Junior,School of Communication and Information,0,0,['NCA' 'BS' 'TS'],Apartment,1,1,1,4000-6000,6000
1309,Anthony Taylor,M,867071317,2003-06-16,Freshman,School of Arts and Sciences,0,0,['NCA' 'BS' 'JS'],Suite,1,1,1,6000-8000,8000
1310,Shelly Davis,F,983326976,2003-12-06,Junior,Rutgers Business School–Newark and New Brunswick,1,0,['BS' 'TS' 'MRS'],Suite,1,1,1,8000-11000,11000
1311,Regina Gray,F,301622606,2004-05-13,Sophomore,School of Arts and Sciences,0,0,['MS' 'BS' 'CS'],Traditional Residence Hall,1,0,1,4000-6000,6000
1312,Elizabeth Pena,F,573953382,2003-01-04,Freshman,School of Arts and Sciences,0,0,['NCA' 'BS' 'SA'],Apartment,1,1,1,4000-6000,6000
1313,Jennifer Sanchez,F,883968648,2005-04-02,Sophomore,School of Management and Labor Relations,0,1,['BS' 'MH' 'NCA'],Apartment,1,1,1,4000-6000,5000
1314,Kari Brown,F,700116939,2005-09-02,Sophomore,Mason Gross School of the Arts,0,1,['AH' 'JS' 'BS'],Suite,1,1,1,4000-6000,5000
1315,Kristina Anderson,F,236325398,2000-08-14,Freshman,School of Arts and Sciences,0,0,['RA' 'MH' 'MS'],Traditional Residence Hall,1,1,1,6000-8000,8000
1316,William Simmons,M,377162185,2000-04-30,Senior,School of Arts and Sciences,0,1,['NCA' 'BS' 'MH'],Suite,1,1,1,6000-8000,7000
1317,Sharon Riley,F,498872655,2000-09-19,Senior,School of Arts and Sciences,0,0,['BS' 'RA' 'NCA'],Traditional Residence Hall,1,1,1,4000-6000,6000
1318,Nicholas Hudson,M,236070489,2004-01-14,Junior,School of Arts and Sciences,0,0,['BS' 'SA' 'TS'],Apartment,1,0,1,8000-11000,11000
1319,Marcus Miller,M,167260791,2003-03-09,Junior,School of Arts and Sciences,0,1,['MH' 'RA' 'BS'],Suite,1,1,1,4000-6000,5000
1320,John Martin,M,563452477,2002-07-26,Junior,Rutgers Business School–Newark and New Brunswick,0,0,['SA' 'MRS' 'RA'],Traditional Residence Hall,1,1,1,4000-6000,6000
1321,Gregory Thompson,M,125675691,2001-03-04,Freshman,School of Arts and Sciences,0,0,['BS' 'RA' 'SA'],Traditional Residence Hall,1,0,1,4000-6000,6000
1322,Thomas Morales,M,707593435,2004-02-03,Sophomore,School of Management and Labor Relations,0,0,['AH' 'RA' 'SA'],Apartment,1,1,1,4000-6000,6000
1323,Robin Armstrong,F,860448405,2005-09-07,Junior,Mason Gross School of the Arts,0,1,['RA' 'BS' 'MH'],Suite,1,1,1,8000-11000,10000
1324,Edward Owens,M,964575239,2002-02-25,Junior,School of Arts and Sciences,0,0,['BS' 'RA' 'NCA'],Apartment,1,1,1,8000-11000,11000
1325,Daisy Burnett,F,334352349,2003-12-01,Junior,Mason Gross School of the Arts,0,0,['BS' 'BH' 'RA'],Apartment,1,1,1,4000-6000,6000
1326,Susan Hall,F,787691199,2003-04-02,Sophomore,School of Arts and Sciences,0,0,['BS' 'SA' 'NCA'],Suite,1,1,1,6000-8000,8000
1327,Rachel White,F,298461014,2005-01-24,Junior,School of Arts and Sciences,0,1,['RA' 'BS' 'MZH'],Traditional Residence Hall,1,1,1,8000-11000,10000
1328,Luis Lee,M,756241991,2005-08-17,Senior,School of Arts and Sciences,0,0,['MS' 'BS' 'TS'],Traditional Residence Hall,1,1,1,6000-8000,8000
1329,Justin Morgan,M,934929477,2004-12-16,Freshman,School of Arts and Sciences,0,0,['BH' 'BS' 'SA'],Traditional Residence Hall,1,1,1,4000-6000,6000
1330,Mckenzie Espinoza,F,466778277,2005-05-11,Freshman,School of Arts and Sciences,0,1,['NCA' 'BS' 'RA'],Apartment,1,1,1,4000-6000,5000
1331,Latasha Pratt,F,324901665,2000-07-25,Freshman,School of Arts and Sciences,0,1,['AH' 'NCA' 'RA'],Suite,1,1,0,4000-6000,5000
1332,Alicia Jones,F,356849550,2004-11-22,Freshman,Rutgers Business School–Newark and New Brunswick,0,1,['TS' 'BS' 'SA'],Apartment,1,1,1,4000-6000,5000
1333,Dwayne Brown,M,757513584,2005-09-08,Freshman,School of Communication and Information,1,0,['TS' 'WS' 'MZH'],Suite,1,1,1,4000-6000,6000
1334,Cameron Nash,M,962094247,2004-12-06,Junior,School of Arts and Sciences,0,0,['JS' 'RA' 'BS'],Suite,1,1,0,6000-8000,8000
1335,Thomas Hudson,M,376985394,2002-04-16,Freshman,School of Management and Labor Relations,0,0,['JS' 'SA' 'WS'],Suite,1,0,1,8000-11000,11000
1336,Micheal Anderson,M,293421367,2002-11-13,Freshman,Rutgers Business School–Newark and New Brunswick,0,1,['AH' 'BS' 'MH'],Suite,1,1,1,8000-11000,10000
1337,Chase Peterson,M,703923983,2004-11-23,Freshman,School of Social Work,0,0,['SA' 'BS' 'BH'],Suite,1,1,1,4000-6000,6000
1338,Michael Phelps,M,589863134,2005-02-28,Senior,School of Arts and Sciences,0,1,['NCA' 'BS' 'SA'],Apartment,1,1,1,4000-6000,5000
1339,Melissa Cummings,F,774372083,2000-04-07,Junior,School of Arts and Sciences,0,0,['NCA' 'RA' 'MS'],Apartment,1,1,1,6000-8000,8000
1340,James Mccall,M,624547713,2001-12-23,Sophomore,School of Arts and Sciences,0,0,['SA' 'NCA' 'MRS'],Apartment,1,1,1,8000-11000,11000
1341,Albert Arnold,M,314825176,2003-01-14,Freshman,School of Social Work,0,0,['SA' 'CS' 'NCA'],Suite,1,1,1,8000-11000,11000
1342,Robert Nichols,M,639555878,2002-03-12,Junior,School of Arts and Sciences,0,0,['MZH' 'SA' 'MRS'],Traditional Residence Hall,1,1,1,4000-6000,6000
1343,Daniel Pearson,M,864564164,2001-11-09,Sophomore,School of Management and Labor Relations,0,0,['BS' 'MS' 'RA'],Apartment,1,0,1,8000-11000,11000
1344,Justin Rodriguez,M,775598791,1999-10-17,Freshman,Rutgers Business School–Newark and New Brunswick,0,1,['JS' 'NCA' 'MZH'],Suite,1,1,0,4000-6000,5000
1345,Jonathan Johnson,M,850536033,2000-12-27,Sophomore,School of Arts and Sciences,0,0,['RA' 'SA' 'MH'],Apartment,1,1,1,8000-11000,11000
1346,Laurie Frazier,F,800583022,2005-04-05,Freshman,School of Environmental and Biological Sciences,0,0,['MZH' 'JS' 'RA'],Apartment,1,1,1,4000-6000,6000
1347,Kristen Humphrey,F,972960182,2003-07-22,Junior,School of Arts and Sciences,0,0,['SA' 'CS' 'NCA'],Suite,1,1,1,6000-8000,8000
1348,Angela Watkins,F,658028015,2005-03-11,Junior,School of Engineering,0,0,['MRS' 'BS' 'TS'],Suite,1,1,1,4000-6000,6000
1349,Kimberly Stephenson,F,872138414,2002-10-13,Junior,Rutgers Business School–Newark and New Brunswick,0,0,['SA' 'NCA' 'CS'],Suite,1,1,1,6000-8000,8000
1350,Alexandra Ramsey,F,796617387,2004-08-06,Senior,School of Arts and Sciences,0,1,['AH' 'CS' 'MRS'],Apartment,1,1,1,8000-11000,10000
1351,Brittney Williams,F,178605923,2000-03-25,Freshman,School of Communication and Information,0,0,['MRS' 'CS' 'MS'],Suite,1,1,1,4000-6000,6000
1352,Karen Peterson,F,110341486,2005-02-22,Sophomore,School of Management and Labor Relations,0,0,['WS' 'TS' 'MS'],Suite,1,1,1,4000-6000,6000
1353,Mr. William Lowe Jr.,M,667964745,2002-09-11,Freshman,School of Arts and Sciences,0,0,['BS' 'MRS' 'RA'],Traditional Residence Hall,1,1,1,8000-11000,11000
1354,Christopher Smith,M,225571020,2005-05-16,Freshman,School of Arts and Sciences,0,0,['CS' 'BH' 'MZH'],Traditional Residence Hall,1,1,1,8000-11000,11000
1355,Matthew Terry,M,517145215,2004-06-19,Junior,Edward J. Bloustein School of Planning and Public Policy,0,0,['BS' 'BH' 'RA'],Suite,1,1,1,8000-11000,11000
1356,Elizabeth Smith,F,459847188,1999-11-29,Freshman,School of Communication and Information,0,0,['BS' 'RA' 'MS'],Apartment,1,1,1,4000-6000,6000
1357,Melissa Kelly,F,178335038,2003-11-20,Junior,School of Arts and Sciences,0,1,['SA' 'JS' 'MS'],Suite,1,0,1,8000-11000,10000
1358,Brenda Holloway,F,982123037,2002-12-06,Freshman,School of Communication and Information,0,0,['MH' 'RA' 'BS'],Suite,1,1,1,8000-11000,11000
