name,sex,RUID,date_of_birth,student_year,student_school,accessibility_need,low_income_status,preferred_hall_ids,preferred_residence_type,is_single_preferred,is_private_bathroom_preferred,laundry_availibility,preferred_price_range,max_price
Benjamin Dickerson,M,258180494,2002-12-09,Freshman,School of Engineering,0,0,['RA' 'BS' 'SA'],Suite,1,1,1,8000-11000,12000
Sarah Stone,F,617225929,2003-05-04,Sophomore,School of Arts and Sciences,0,0,['MZH' 'MS' 'NCA'],Suite,1,0,1,6000-8000,9000
Maria Stevenson,F,211571668,2003-08-20,Junior,Edward J. Bloustein School of Planning and Public Policy,0,1,['AH' 'CS' 'NCA'],Traditional Residence Hall,1,1,1,4000-6000,7000
Kimberly Johnson,F,485463553,2003-02-18,Freshman,Mason Gross School of the Arts,0,0,['SA' 'NCA' 'RA'],Suite,1,1,1,8000-11000,12000
Gary Mason,M,562991982,2000-09-07,Freshman,School of Communication and Information,0,1,['SA' 'TS' 'RA'],Apartment,1,1,0,6000-8000,9000
Linda Mendez,F,141612062,2000-01-20,Sophomore,Rutgers Business School–Newark and New Brunswick,0,0,['RA' 'SA' 'BS'],Apartment,1,1,1,4000-6000,7000
Kevin Beard,M,580810313,2001-02-22,Junior,School of Engineering,1,0,['BS' 'NCA' 'SA'],Apartment,1,1,1,6000-8000,9000
Jody Campbell,F,561261769,2004-08-27,Junior,Mason Gross School of the Arts,0,1,['RA' 'AH' 'WS'],Traditional Residence Hall,1,1,1,8000-11000,12000
Aaron Alvarado,M,891117504,2000-06-06,Freshman,School of Arts and Sciences,0,0,['BS' 'NCA' 'MH'],Suite,1,1,1,8000-11000,12000
William Reilly,M,434103788,2003-05-11,Junior,School of Communication and Information,0,0,['RA' 'SA' 'MRS'],Suite,1,1,1,8000-11000,12000
Angel White,F,436781197,2003-11-19,Junior,School of Arts and Sciences,0,0,['NCA' 'RA' 'BS'],Traditional Residence Hall,1,1,1,8000-11000,12000
Stephanie Baker,F,645130642,2002-01-21,Sophomore,School of Social Work,0,0,['SA' 'TS' 'JS'],Traditional Residence Hall,1,1,1,8000-11000,12000
Jason Powell,M,529917899,2002-07-27,Junior,Mason Gross School of the Arts,0,0,['TS' 'WS' 'BH'],Apartment,1,1,1,4000-6000,7000
Kerry Hansen,M,695254722,2003-10-26,Freshman,School of Arts and Sciences,0,0,['JS' 'BS' 'AH'],Suite,1,1,1,4000-6000,7000
Grant Owens,M,220970126,2004-03-29,Senior,School of Arts and Sciences,0,1,['CS' 'BS' 'SA'],Suite,1,1,1,8000-11000,12000
Gina Davis,F,257142408,1999-10-31,Junior,Mason Gross School of the Arts,0,1,['NCA' 'BS' 'SA'],Apartment,1,1,1,8000-11000,12000
David Benson,M,695350023,2001-10-28,Sophomore,School of Environmental and Biological Sciences,0,0,['TS' 'SA' 'BS'],Suite,1,1,1,4000-6000,7000
Richard James DDS,M,113141719,2001-08-28,Freshman,School of Arts and Sciences,0,0,['CS' 'MS' 'JS'],Traditional Residence Hall,1,0,1,8000-11000,12000
Bobby Collier,M,679018298,2001-12-21,Sophomore,Rutgers Business School–Newark and New Brunswick,0,0,['SA' 'BS' 'NCA'],Traditional Residence Hall,1,1,1,4000-6000,7000
Brian Johnson,M,604531132,2002-03-18,Freshman,School of Communication and Information,0,1,['AH' 'MH' 'TS'],Traditional Residence Hall,1,1,1,8000-11000,12000
Lawrence Schmidt,M,607286113,2003-02-18,Sophomore,School of Engineering,0,0,['NCA' 'SA' 'MZH'],Apartment,1,1,1,8000-11000,12000
Eddie Butler,M,494065739,2004-08-19,Junior,Mason Gross School of the Arts,0,0,['MS' 'MZH' 'SA'],Suite,1,1,1,8000-11000,12000
Robert Wilson,M,415910866,2002-01-22,Sophomore,School of Arts and Sciences,0,0,['TS' 'BS' 'MS'],Suite,1,0,1,8000-11000,12000
Judy Kaufman,F,925398379,2001-02-05,Freshman,Rutgers Business School–Newark and New Brunswick,0,0,['NCA' 'AH' 'MRS'],Suite,1,1,1,6000-8000,9000
Charles Gonzales,M,231060797,2001-02-22,Freshman,School of Arts and Sciences,0,0,['BS' 'RA' 'MH'],Apartment,1,1,1,6000-8000,9000
Kristin Hughes,F,626025049,2001-11-20,Junior,School of Management and Labor Relations,0,0,['NCA' 'CS' 'MH'],Apartment,1,1,1,4000-6000,7000
Mr. Ethan Drake,M,305102522,2002-07-05,Freshman,School of Arts and Sciences,0,1,['SA' 'RA' 'BH'],Apartment,1,1,1,4000-6000,7000
Stacey Summers,F,772646740,2001-04-23,Freshman,School of Arts and Sciences,0,0,['NCA' 'BH' 'BS'],Apartment,1,1,1,8000-11000,12000
Brian Tucker,M,495865938,2003-04-27,Junior,Rutgers Business School–Newark and New Brunswick,0,0,['NCA' 'RA' 'BS'],Traditional Residence Hall,1,1,1,8000-11000,12000
Katrina Harris,F,892831988,2002-03-26,Sophomore,School of Arts and Sciences,0,1,['MRS' 'BS' 'AH'],Apartment,1,1,1,6000-8000,9000
Heidi Moody,F,558272845,2001-09-17,Freshman,School of Social Work,0,1,['NCA' 'BS' 'JS'],Suite,1,1,1,4000-6000,7000
Lauren Harris,F,511653695,2000-09-19,Sophomore,Rutgers Business School–Newark and New Brunswick,0,0,['MH' 'MZH' 'BS'],Apartment,1,1,1,6000-8000,9000
Samantha Brown,F,892885791,2003-07-19,Junior,School of Communication and Information,0,0,['MS' 'AH' 'RA'],Suite,1,1,1,6000-8000,9000
Julie Brown,F,395079651,2001-10-12,Sophomore,School of Arts and Sciences,0,0,['BS' 'NCA' 'SA'],Traditional Residence Hall,1,1,1,4000-6000,7000
Alexandria Jones,F,880848328,2001-08-30,Freshman,Rutgers Business School–Newark and New Brunswick,0,0,['BS' 'CS' 'MS'],Suite,1,0,1,8000-11000,12000
Dorothy Martin,F,349585487,2003-04-09,Sophomore,School of Social Work,0,0,['MS' 'NCA' 'BS'],Traditional Residence Hall,1,1,1,8000-11000,12000
Sarah Ramirez,F,368573664,2003-05-24,Freshman,School of Communication and Information,0,0,['SA' 'MZH' 'NCA'],Suite,1,1,1,8000-11000,12000
Ashley Arroyo,F,409355419,2005-05-18,Sophomore,School of Engineering,0,1,['MS' 'BS' 'MZH'],Apartment,1,1,1,8000-11000,12000
Melissa Weber,F,639949870,2002-04-13,Junior,School of Management and Labor Relations,0,0,['RA' 'BS' 'NCA'],Suite,1,1,1,8000-11000,12000
Andrew Richardson,M,576644983,2005-03-18,Senior,School of Communication and Information,0,1,['RA' 'MH' 'NCA'],Suite,1,1,1,4000-6000,7000
Heather Garcia,F,447231463,2003-02-20,Sophomore,Rutgers Business School–Newark and New Brunswick,0,0,['SA' 'WS' 'BH'],Traditional Residence Hall,1,1,1,6000-8000,9000
Ashley Myers,F,511942591,2002-01-14,Junior,School of Arts and Sciences,0,1,['NCA' 'RA' 'BH'],Traditional Residence Hall,1,1,1,8000-11000,12000
Scott Martinez,M,910629355,2001-09-25,Sophomore,School of Arts and Sciences,0,0,['MS' 'SA' 'NCA'],Apartment,1,1,1,8000-11000,12000
David James,M,883405555,2001-12-31,Junior,School of Arts and Sciences,0,0,['BS' 'NCA' 'WS'],Suite,1,1,1,6000-8000,9000
Michael Kirk,M,816078950,2005-08-07,Freshman,Rutgers Business School–Newark and New Brunswick,0,0,['NCA' 'TS' 'AH'],Apartment,1,1,1,8000-11000,12000
John Colon,M,507115700,2001-01-02,Sophomore,School of Engineering,0,0,['BS' 'RA' 'SA'],Traditional Residence Hall,1,1,1,4000-6000,7000
Jamie Davidson,F,402794494,2000-04-02,Senior,School of Social Work,0,1,['NCA' 'TS' 'MS'],Suite,1,0,1,8000-11000,12000
Kerri Brooks,F,468867548,1999-11-18,Freshman,School of Environmental and Biological Sciences,0,0,['BS' 'NCA' 'MH'],Apartment,1,1,1,6000-8000,9000
Nicole Peterson,F,175676215,2002-02-12,Sophomore,School of Social Work,0,0,['BH' 'MH' 'AH'],Suite,1,1,1,6000-8000,9000
Aaron Fisher,M,743611718,2002-09-22,Sophomore,School of Management and Labor Relations,0,0,['NCA' 'BS' 'CS'],Suite,1,0,1,8000-11000,12000
Jennifer Cannon,F,461602109,2003-07-21,Sophomore,School of Arts and Sciences,0,1,['RA' 'BS' 'TS'],Apartment,1,0,1,4000-6000,7000
Adam Holder,M,958440383,2001-07-19,Junior,School of Communication and Information,0,0,['WS' 'SA' 'BS'],Apartment,1,1,1,8000-11000,12000
John Martin,M,572888551,2001-06-30,Freshman,School of Engineering,0,0,['RA' 'BS' 'SA'],Suite,1,1,1,6000-8000,9000
Savannah Rodriguez,F,563930408,2001-06-28,Junior,School of Arts and Sciences,0,0,['RA' 'BH' 'SA'],Suite,1,1,1,4000-6000,7000
Jeremy Hendrix,M,162946592,2005-07-16,Senior,School of Arts and Sciences,0,1,['RA' 'BS' 'NCA'],Apartment,1,1,1,8000-11000,12000
George Cook,M,624447350,2004-04-10,Freshman,School of Arts and Sciences,0,0,['MZH' 'BS' 'MH'],Suite,1,1,1,8000-11000,12000
John Fowler,M,986579054,2000-12-27,Sophomore,School of Communication and Information,0,0,['NCA' 'MRS' 'BS'],Apartment,1,1,1,8000-11000,12000
Matthew Carlson,M,628149415,2004-01-10,Freshman,School of Communication and Information,0,1,['NCA' 'WS' 'MZH'],Apartment,1,1,1,8000-11000,12000
Luis Bradford,M,922492070,1999-12-10,Freshman,Edward J. Bloustein School of Planning and Public Policy,0,1,['RA' 'CS' 'MS'],Traditional Residence Hall,1,1,1,8000-11000,12000
Megan Graham,F,457366277,2005-05-15,Freshman,School of Arts and Sciences,0,0,['AH' 'SA' 'RA'],Apartment,1,1,1,8000-11000,12000
Michael Hendrix,M,202673614,2003-01-24,Junior,School of Communication and Information,0,1,['BS' 'NCA' 'MZH'],Suite,1,1,0,8000-11000,12000
Lauren Conley,F,111102846,2001-04-28,Freshman,School of Social Work,0,0,['NCA' 'BS' 'MS'],Suite,1,1,1,8000-11000,12000
Kathryn Willis,F,403245617,2001-01-05,Sophomore,School of Arts and Sciences,0,0,['MRS' 'MH' 'JS'],Suite,1,1,1,8000-11000,12000
Alison Ramirez,F,539693299,2002-07-23,Sophomore,School of Arts and Sciences,0,0,['MS' 'NCA' 'BS'],Traditional Residence Hall,1,1,1,8000-11000,12000
Tina Miranda,F,843067157,2004-03-04,Sophomore,School of Arts and Sciences,0,0,['NCA' 'TS' 'AH'],Suite,1,1,1,8000-11000,12000
Amber Chandler,F,975785635,2001-09-07,Junior,School of Arts and Sciences,0,1,['BS' 'MRS' 'TS'],Apartment,1,1,1,6000-8000,9000
Anthony Watkins,M,765057188,2002-12-02,Freshman,School of Environmental and Biological Sciences,0,0,['BS' 'CS' 'MH'],Suite,1,0,1,4000-6000,7000
Ricardo Torres,M,303839381,2001-07-13,Freshman,School of Arts and Sciences,0,0,['NCA' 'AH' 'SA'],Suite,1,1,1,8000-11000,12000
Charles Wilson,M,612415105,2004-08-26,Junior,School of Arts and Sciences,0,0,['AH' 'RA' 'SA'],Apartment,1,1,1,8000-11000,12000
Alexander Pratt,M,801878822,2004-07-06,Sophomore,Rutgers Business School–Newark and New Brunswick,0,0,['NCA' 'SA' 'MRS'],Apartment,1,1,1,4000-6000,7000
John Fisher,M,827590477,2001-03-15,Freshman,School of Engineering,0,1,['BS' 'MH' 'SA'],Suite,1,1,1,8000-11000,12000
James Johnson,M,270874766,2000-09-02,Junior,School of Engineering,0,0,['RA' 'MH' 'MZH'],Apartment,1,1,1,8000-11000,12000
Charles White,M,990877132,2000-10-13,Freshman,School of Engineering,0,0,['BH' 'MS' 'CS'],Suite,1,1,1,4000-6000,7000
Paula Hall,F,244660002,2005-05-09,Freshman,School of Arts and Sciences,0,0,['TS' 'NCA' 'AH'],Apartment,1,1,1,4000-6000,7000
Dr. Geoffrey Hopkins DVM,M,361792764,2000-03-21,Junior,School of Social Work,0,0,['AH' 'NCA' 'SA'],Traditional Residence Hall,1,1,0,8000-11000,12000
Linda Anderson,F,499720694,2003-07-02,Senior,School of Arts and Sciences,0,1,['TS' 'BS' 'BH'],Suite,1,1,1,6000-8000,9000
Michelle Long,F,677625564,2004-03-22,Freshman,Rutgers Business School–Newark and New Brunswick,0,0,['MZH' 'MS' 'TS'],Traditional Residence Hall,1,0,1,8000-11000,12000
Walter Mcdowell,M,574325425,2001-05-24,Sophomore,School of Social Work,1,0,['BS' 'WS' 'MS'],Suite,1,1,1,6000-8000,9000
Kimberly Smith,F,114890101,2000-02-14,Freshman,Rutgers Business School–Newark and New Brunswick,0,0,['NCA' 'TS' 'MS'],Suite,1,1,1,8000-11000,12000
John Blackwell,M,757748372,2000-11-22,Freshman,School of Arts and Sciences,0,0,['MRS' 'RA' 'TS'],Traditional Residence Hall,1,0,0,8000-11000,12000
Timothy Poole,M,805123154,2001-07-24,Junior,School of Arts and Sciences,0,0,['MS' 'RA' 'JS'],Traditional Residence Hall,1,1,0,6000-8000,9000
Douglas Osborne,M,718891874,2002-11-22,Freshman,School of Arts and Sciences,0,0,['BS' 'MH' 'NCA'],Suite,1,0,1,4000-6000,7000
Danielle Thompson,F,798739702,2005-01-19,Sophomore,School of Arts and Sciences,0,0,['BS' 'MZH' 'JS'],Traditional Residence Hall,1,1,1,8000-11000,12000
Deborah Reyes,F,852460083,2003-06-16,Junior,School of Arts and Sciences,0,0,['TS' 'MH' 'MS'],Suite,1,1,1,8000-11000,12000
Corey Levine,M,829465640,2003-01-07,Junior,School of Environmental and Biological Sciences,0,0,['BS' 'SA' 'TS'],Apartment,1,1,1,4000-6000,7000
Morgan Wilson,F,983052190,2000-06-15,Junior,Rutgers Business School–Newark and New Brunswick,0,0,['CS' 'WS' 'NCA'],Apartment,1,0,1,8000-11000,12000
Christopher Gray,M,723108234,2005-02-16,Freshman,Mason Gross School of the Arts,1,1,['JS' 'SA' 'RA'],Suite,1,1,0,8000-11000,12000
Angela Keller,F,445041706,2001-04-12,Junior,School of Communication and Information,0,0,['AH' 'BS' 'NCA'],Apartment,1,1,1,8000-11000,12000
Ashley Sandoval,F,423915914,2003-07-14,Freshman,Edward J. Bloustein School of Planning and Public Policy,0,1,['RA' 'NCA' 'MH'],Suite,1,1,1,6000-8000,9000
John Lewis,M,808028974,2003-08-20,Freshman,School of Arts and Sciences,0,0,['SA' 'RA' 'CS'],Suite,1,1,1,6000-8000,9000
Kelly Hernandez,M,116581248,2000-05-15,Senior,School of Environmental and Biological Sciences,0,1,['MRS' 'RA' 'MS'],Apartment,1,1,1,4000-6000,7000
Kim Murray MD,F,315752284,2005-03-17,Junior,School of Arts and Sciences,0,0,['MRS' 'MH' 'SA'],Apartment,1,0,1,4000-6000,7000
Colleen Kennedy,F,136792253,2003-04-28,Freshman,School of Arts and Sciences,0,0,['SA' 'RA' 'BS'],Suite,1,1,1,4000-6000,7000
Allison Richards,F,406947886,2004-01-17,Junior,School of Environmental and Biological Sciences,0,1,['CS' 'AH' 'SA'],Suite,1,1,1,8000-11000,12000
Denise Simmons,F,317075122,1999-10-27,Freshman,School of Engineering,0,0,['NCA' 'MH' 'WS'],Apartment,1,1,1,8000-11000,12000
Chad Huerta,M,196603619,2003-07-20,Freshman,Mason Gross School of the Arts,0,1,['RA' 'SA' 'MS'],Traditional Residence Hall,1,1,1,8000-11000,12000
Matthew Harvey,M,265395651,2003-11-02,Freshman,School of Arts and Sciences,0,1,['RA' 'JS' 'NCA'],Suite,1,1,1,8000-11000,12000
Robert Crawford,M,197279174,2003-10-26,Senior,Edward J. Bloustein School of Planning and Public Policy,0,1,['BS' 'SA' 'NCA'],Apartment,1,1,1,4000-6000,7000
Joseph Jackson,M,246292891,2000-08-03,Freshman,School of Arts and Sciences,1,0,['RA' 'JS' 'SA'],Suite,1,1,1,8000-11000,12000
Richard Gentry,M,243886303,2004-06-16,Junior,Mason Gross School of the Arts,0,1,['NCA' 'CS' 'BH'],Apartment,1,0,1,6000-8000,9000
Emily Wright,F,319462276,2002-09-22,Junior,School of Arts and Sciences,0,0,['SA' 'AH' 'BS'],Apartment,1,1,1,6000-8000,9000
William Shaw,M,523092198,2004-10-29,Sophomore,Mason Gross School of the Arts,0,0,['SA' 'BS' 'MH'],Suite,1,1,1,4000-6000,7000
William Boyer,M,796339617,2001-03-22,Junior,School of Arts and Sciences,0,1,['RA' 'NCA' 'BS'],Traditional Residence Hall,1,1,1,6000-8000,9000
Benjamin Flynn,M,737006994,2002-06-28,Freshman,School of Arts and Sciences,0,0,['BS' 'MRS' 'AH'],Suite,1,1,1,6000-8000,9000
Michael Strong,M,901211717,1999-11-15,Senior,School of Engineering,0,1,['CS' 'RA' 'SA'],Apartment,1,1,1,6000-8000,9000
Bruce Hamilton,M,778469830,2004-02-18,Freshman,School of Engineering,0,0,['NCA' 'MZH' 'WS'],Traditional Residence Hall,1,1,1,4000-6000,7000
Natasha Fisher,F,561596641,2001-03-21,Sophomore,Rutgers Business School–Newark and New Brunswick,0,0,['BS' 'RA' 'MZH'],Suite,1,0,1,6000-8000,9000
Benjamin Wright,M,455440007,2002-09-01,Sophomore,School of Arts and Sciences,0,1,['BS' 'NCA' 'BH'],Suite,1,1,1,4000-6000,7000
Joanna Buck,F,736629064,2002-02-18,Senior,Edward J. Bloustein School of Planning and Public Policy,0,1,['JS' 'SA' 'BS'],Apartment,1,1,1,8000-11000,12000
Elizabeth Mejia,F,901779243,2005-07-24,Freshman,School of Management and Labor Relations,0,1,['AH' 'RA' 'SA'],Traditional Residence Hall,1,1,1,8000-11000,12000
Paul Rivera,M,950745942,2002-02-24,Freshman,School of Engineering,0,0,['BS' 'MS' 'SA'],Suite,1,1,1,8000-11000,12000
Erika Woods,F,573011044,2002-01-06,Freshman,School of Engineering,0,0,['BS' 'TS' 'NCA'],Traditional Residence Hall,1,1,1,8000-11000,12000
Amanda Humphrey,F,181732927,2003-01-20,Freshman,School of Arts and Sciences,0,0,['MH' 'SA' 'MRS'],Suite,1,1,1,8000-11000,12000
James Farley,M,305675182,2002-07-01,Junior,School of Environmental and Biological Sciences,0,1,['BH' 'MRS' 'SA'],Suite,1,1,1,8000-11000,12000
Eric Vega,M,365003150,2000-02-12,Sophomore,School of Arts and Sciences,0,0,['SA' 'NCA' 'BS'],Apartment,1,1,1,6000-8000,9000
Lauren Alvarado,F,692583394,2003-03-15,Freshman,School of Engineering,0,0,['WS' 'MZH' 'NCA'],Suite,1,1,1,8000-11000,12000
Austin Mueller,M,522625204,2004-10-15,Junior,School of Communication and Information,0,0,['RA' 'NCA' 'MH'],Apartment,1,1,1,4000-6000,7000
Robert Contreras,M,796284780,2002-03-31,Junior,Edward J. Bloustein School of Planning and Public Policy,0,0,['MS' 'RA' 'NCA'],Suite,1,1,1,8000-11000,12000
Tina Dominguez,F,481704624,2004-11-22,Freshman,School of Communication and Information,0,0,['BS' 'RA' 'TS'],Apartment,1,1,1,6000-8000,9000
Mitchell Stark,M,738547549,2003-07-05,Sophomore,Rutgers Business School–Newark and New Brunswick,0,0,['SA' 'RA' 'TS'],Suite,1,1,1,8000-11000,12000
Rachel Garcia,F,411035583,2001-11-08,Sophomore,School of Communication and Information,0,1,['NCA' 'MH' 'BS'],Apartment,1,0,1,8000-11000,12000
Justin Schroeder,M,391111295,1999-11-30,Sophomore,School of Arts and Sciences,0,0,['NCA' 'AH' 'CS'],Suite,1,1,1,4000-6000,7000
Jessica Price,F,802636076,2003-03-06,Junior,School of Management and Labor Relations,0,0,['BS' 'MRS' 'CS'],Suite,1,0,1,6000-8000,9000
Mrs. Brandi Rodgers,F,882428232,2001-06-19,Sophomore,School of Arts and Sciences,0,0,['SA' 'BS' 'BH'],Apartment,1,1,1,8000-11000,12000
Kimberly Payne,F,278565193,2000-02-29,Freshman,Mason Gross School of the Arts,0,0,['AH' 'MS' 'JS'],Apartment,1,1,1,8000-11000,12000
Sarah Hamilton,F,420790115,2001-05-20,Junior,School of Arts and Sciences,0,0,['MZH' 'SA' 'BS'],Traditional Residence Hall,1,0,1,8000-11000,12000
Kelly Parks,F,455068162,2003-07-16,Sophomore,School of Arts and Sciences,1,0,['NCA' 'SA' 'JS'],Apartment,1,1,1,8000-11000,12000
Brittany Harris,F,984059247,2004-08-22,Sophomore,School of Arts and Sciences,0,0,['TS' 'MH' 'SA'],Suite,1,1,1,6000-8000,9000
Dr. Kristina Collins MD,F,235297338,2004-08-20,Junior,School of Environmental and Biological Sciences,0,0,['WS' 'TS' 'RA'],Traditional Residence Hall,1,1,1,4000-6000,7000
Larry James,M,734057537,2000-06-13,Freshman,School of Arts and Sciences,0,0,['MS' 'BS' 'NCA'],Traditional Residence Hall,1,1,1,4000-6000,7000
Clarence Taylor,M,974506904,2002-08-09,Freshman,School of Arts and Sciences,0,0,['MS' 'SA' 'NCA'],Suite,1,1,1,4000-6000,7000
Joseph Walsh MD,M,343991581,2004-10-22,Sophomore,School of Arts and Sciences,0,1,['NCA' 'MZH' 'JS'],Suite,1,1,1,6000-8000,9000
Kathleen Powell,F,631831239,2003-05-25,Freshman,School of Arts and Sciences,0,1,['MRS' 'NCA' 'BS'],Apartment,1,1,1,6000-8000,9000
Amy Patterson,F,737235139,2000-05-24,Sophomore,Rutgers Business School–Newark and New Brunswick,0,1,['BS' 'MH' 'CS'],Apartment,1,1,1,8000-11000,12000
Lori Rowe,F,110983230,2002-05-07,Senior,School of Environmental and Biological Sciences,0,0,['MZH' 'SA' 'NCA'],Suite,1,1,0,4000-6000,7000
Thomas Trujillo,M,670529381,2001-07-18,Sophomore,School of Arts and Sciences,0,0,['TS' 'SA' 'MZH'],Traditional Residence Hall,1,1,1,4000-6000,7000
Donald Brown,M,349963961,1999-11-02,Senior,School of Arts and Sciences,0,0,['SA' 'BS' 'MZH'],Suite,1,1,1,8000-11000,12000
Mr. William Casey,M,855696439,2001-12-12,Sophomore,School of Social Work,0,1,['TS' 'RA' 'NCA'],Apartment,1,1,1,4000-6000,7000
Allison Holmes,F,172648633,2001-12-03,Senior,School of Management and Labor Relations,0,0,['BS' 'NCA' 'MZH'],Traditional Residence Hall,1,0,0,8000-11000,12000
Samuel Newman,M,109139413,2002-03-22,Freshman,School of Engineering,0,1,['JS' 'NCA' 'RA'],Apartment,1,1,1,4000-6000,7000
Amy Ward,F,277691077,2002-08-12,Senior,School of Arts and Sciences,0,1,['NCA' 'BS' 'MH'],Suite,1,1,1,8000-11000,12000
Jacqueline Garza,F,493456233,2001-10-26,Junior,School of Engineering,0,0,['NCA' 'RA' 'MS'],Apartment,1,1,1,8000-11000,12000
Rachel Mcdonald,F,817725684,2005-09-01,Junior,School of Environmental and Biological Sciences,0,0,['RA' 'NCA' 'JS'],Apartment,1,1,1,6000-8000,9000
Natasha Miller,F,567452122,2002-06-28,Junior,School of Arts and Sciences,0,0,['JS' 'RA' 'NCA'],Suite,1,1,1,8000-11000,12000
Linda Baker,F,564926391,2004-05-22,Freshman,School of Engineering,0,1,['MZH' 'SA' 'NCA'],Suite,1,1,1,4000-6000,7000
Latoya Collins,F,764129522,2001-12-20,Junior,School of Arts and Sciences,0,0,['SA' 'BS' 'RA'],Apartment,1,1,1,8000-11000,12000
Cassandra Marshall,F,597212335,2001-02-25,Junior,School of Management and Labor Relations,0,1,['NCA' 'RA' 'MRS'],Suite,1,1,1,8000-11000,12000
Karina Brown,F,880723224,2005-07-17,Sophomore,School of Environmental and Biological Sciences,0,1,['BS' 'SA' 'CS'],Suite,1,1,1,4000-6000,7000
Stacey Santos,F,178373961,2001-07-24,Sophomore,School of Social Work,0,0,['RA' 'SA' 'NCA'],Apartment,1,1,1,8000-11000,12000
Erica Ortiz,F,776985344,2003-06-12,Freshman,School of Arts and Sciences,0,0,['WS' 'BS' 'TS'],Suite,1,1,1,6000-8000,9000
Eric Patel,M,822305657,2004-06-09,Freshman,School of Environmental and Biological Sciences,0,0,['BS' 'NCA' 'SA'],Apartment,1,1,1,8000-11000,12000
David Nolan,M,894000733,2001-05-02,Junior,Mason Gross School of the Arts,0,0,['RA' 'BS' 'NCA'],Suite,1,1,1,6000-8000,9000
Elizabeth White,F,446049684,2003-01-08,Junior,School of Communication and Information,0,0,['TS' 'NCA' 'CS'],Suite,1,1,1,8000-11000,12000
Manuel Johnson,M,986420068,2004-08-29,Freshman,School of Communication and Information,0,0,['BS' 'MH' 'MRS'],Apartment,1,1,1,8000-11000,12000
James Smith,M,496027469,2004-01-20,Junior,School of Communication and Information,0,1,['NCA' 'SA' 'WS'],Traditional Residence Hall,1,1,1,6000-8000,9000
Dawn Cantrell,F,757250034,1999-10-12,Freshman,School of Arts and Sciences,0,0,['AH' 'SA' 'MZH'],Suite,1,1,1,8000-11000,12000
Mr. Michael Hammond,M,542261431,2000-12-20,Sophomore,School of Arts and Sciences,0,0,['RA' 'BS' 'CS'],Traditional Residence Hall,1,1,1,6000-8000,9000
Anthony Noble,M,254668299,1999-10-26,Sophomore,School of Engineering,0,0,['SA' 'MZH' 'NCA'],Apartment,1,1,1,8000-11000,12000
Lauren Roth DDS,F,853571006,2000-12-25,Freshman,School of Communication and Information,0,0,['MZH' 'BH' 'JS'],Apartment,1,1,1,8000-11000,12000
Lawrence Daniels,M,372155189,2002-08-02,Freshman,School of Arts and Sciences,0,1,['MS' 'RA' 'SA'],Apartment,1,1,1,8000-11000,12000
Amanda Floyd,F,104843914,2005-09-19,Freshman,School of Communication and Information,0,0,['AH' 'SA' 'MS'],Apartment,1,1,1,8000-11000,12000
Kimberly Williams,F,958898927,2002-06-13,Sophomore,School of Management and Labor Relations,0,0,['MZH' 'JS' 'RA'],Suite,1,0,1,8000-11000,12000
Katherine Valdez,F,256953916,2003-10-01,Freshman,School of Social Work,0,0,['NCA' 'MH' 'JS'],Traditional Residence Hall,1,1,1,6000-8000,9000
Mr. Joshua Fox,M,509743086,2000-12-28,Freshman,School of Arts and Sciences,1,1,['MH' 'SA' 'CS'],Suite,1,1,1,4000-6000,7000
Amanda Wallace,F,592670502,2000-07-19,Junior,School of Arts and Sciences,0,0,['SA' 'RA' 'NCA'],Traditional Residence Hall,1,1,0,8000-11000,12000
Yvonne Ingram,F,647149231,2003-07-06,Senior,School of Arts and Sciences,0,1,['NCA' 'SA' 'RA'],Apartment,1,1,0,8000-11000,12000
Lisa Walsh,F,231787557,2003-01-26,Junior,School of Arts and Sciences,0,1,['BS' 'MS' 'MH'],Suite,1,1,1,4000-6000,7000
Deanna Lambert,F,110824852,2002-02-25,Junior,School of Environmental and Biological Sciences,0,0,['BS' 'AH' 'MS'],Traditional Residence Hall,1,1,1,4000-6000,7000
Antonio Day,M,980897053,2000-12-23,Freshman,School of Management and Labor Relations,0,0,['BH' 'SA' 'BS'],Suite,1,1,1,4000-6000,7000
Jeffrey Sanchez,M,508705937,2000-06-06,Freshman,Edward J. Bloustein School of Planning and Public Policy,0,1,['CS' 'MH' 'BS'],Apartment,1,1,1,8000-11000,12000
Autumn Jones,F,158428343,2002-09-21,Freshman,School of Communication and Information,0,0,['JS' 'BS' 'MZH'],Apartment,1,1,1,8000-11000,12000
Robert Perry,M,532602202,2001-01-21,Senior,School of Management and Labor Relations,0,1,['NCA' 'BS' 'SA'],Traditional Residence Hall,1,1,1,8000-11000,12000
Jenny Jones,F,555390139,2004-03-17,Sophomore,School of Arts and Sciences,0,0,['NCA' 'BS' 'RA'],Traditional Residence Hall,1,0,1,8000-11000,12000
Robert Pham,M,432472432,2001-05-19,Freshman,School of Arts and Sciences,0,1,['MS' 'NCA' 'CS'],Apartment,1,1,1,8000-11000,12000
Michael Hernandez,M,163219132,2002-02-27,Sophomore,Rutgers Business School–Newark and New Brunswick,0,1,['NCA' 'SA' 'BS'],Traditional Residence Hall,1,1,1,8000-11000,12000
Dr. Lucas Roberts Jr.,M,892197296,2004-09-13,Junior,School of Arts and Sciences,0,1,['MZH' 'BH' 'AH'],Apartment,1,1,1,4000-6000,7000
