name,sex,RUID,date_of_birth,student_year,student_school,accessibility_need,low_income_status,preferred_hall_ids,preferred_residence_type,is_single_preferred,is_private_bathroom_preferred,laundry_availibility,preferred_price_range,max_price,roommate_preferences
David Wilkins,M,148375222,2000-08-10,Sophomore,Mason Gross School of the Arts,0,1,['SA' 'NCA' 'BS'],Suite,1,1,0,8000-11000,12000,"[917822222, 791806556]"
Anne Dudley,F,550884774,2000-04-15,Freshman,School of Arts and Sciences,0,0,['BS' 'RA' 'SA'],Suite,1,1,1,4000-6000,7000,"[849551097, 113879586]"
Heather Craig,F,950557593,2001-07-04,Sophomore,School of Arts and Sciences,0,0,['BS' 'RA' 'SA'],Traditional Residence Hall,1,1,1,8000-11000,12000,"[836412105, 742712536]"
Lisa Warren,F,761340724,2005-02-02,Senior,School of Arts and Sciences,0,0,['BS' 'JS' 'SA'],Traditional Residence Hall,1,1,1,8000-11000,12000,[319183445]
Brianna Watson,F,312161738,2001-07-26,Sophomore,School of Arts and Sciences,0,1,['CS' 'RA' 'MRS'],Suite,1,1,1,4000-6000,7000,"[679018298, 177017702]"
Lauren Aguilar,F,481208947,2003-12-14,Freshman,School of Arts and Sciences,0,0,['JS' 'MS' 'NCA'],Suite,1,1,1,6000-8000,9000,"[910299413, 801334382]"
Ashlee Potter,F,681970524,2002-06-02,Sophomore,Rutgers Business School–Newark and New Brunswick,0,0,['NCA' 'MS' 'WS'],Suite,1,1,1,6000-8000,9000,[237973941]
Brittany Fisher,F,533402964,2000-08-19,Freshman,School of Engineering,0,0,['MZH' 'NCA' 'BH'],Suite,1,1,1,8000-11000,12000,"[821593101, 414208541]"
Angel Riley,F,923457693,2003-05-10,Sophomore,Rutgers Business School–Newark and New Brunswick,0,0,['NCA' 'MH' 'MZH'],Suite,1,1,1,8000-11000,12000,"[188578254, 915671875]"
Brandon West,M,134397258,2001-04-24,Sophomore,School of Environmental and Biological Sciences,0,0,['MH' 'MS' 'SA'],Traditional Residence Hall,1,1,1,8000-11000,12000,"[689719480, 745411278]"
Donald Medina,M,204231433,2001-07-07,Freshman,Mason Gross School of the Arts,0,0,['SA' 'NCA' 'MZH'],Suite,1,1,1,8000-11000,12000,[714709006]
Maria Mcdowell,F,499666951,2002-04-07,Senior,School of Arts and Sciences,0,0,['MRS' 'JS' 'NCA'],Apartment,1,1,1,4000-6000,7000,"[320740200, 863706310]"
Nicole Hardin,F,720935744,2002-01-30,Freshman,School of Arts and Sciences,0,1,['SA' 'BS' 'NCA'],Apartment,1,1,1,8000-11000,12000,[198571510]
Jesse Goodman,M,585797279,2000-07-29,Sophomore,School of Arts and Sciences,0,0,['SA' 'BS' 'MS'],Traditional Residence Hall,1,1,1,8000-11000,12000,[986579054]
Tiffany Hernandez,F,483223182,2001-08-01,Sophomore,School of Environmental and Biological Sciences,0,0,['BS' 'BH' 'SA'],Suite,1,1,1,8000-11000,12000,"[288118933, 432472432]"
Julie Petersen,F,360673714,2000-02-01,Freshman,School of Communication and Information,0,1,['SA' 'BS' 'RA'],Suite,1,1,1,8000-11000,12000,"[413398635, 572485534]"
Susan Campbell,F,819583526,2004-02-19,Sophomore,School of Arts and Sciences,0,0,['BS' 'CS' 'RA'],Traditional Residence Hall,1,0,1,8000-11000,12000,[448705291]
Nicole Sanchez,F,548851176,2000-10-03,Sophomore,Rutgers Business School–Newark and New Brunswick,0,0,['JS' 'AH' 'NCA'],Traditional Residence Hall,1,1,1,4000-6000,7000,[768832451]
Rhonda Welch,F,787949534,2002-01-19,Sophomore,School of Engineering,0,0,['RA' 'BS' 'JS'],Suite,1,1,0,8000-11000,12000,"[693226667, 682151911]"
Leroy Sanchez,M,206239870,2002-09-29,Freshman,School of Arts and Sciences,0,1,['MZH' 'RA' 'MS'],Suite,1,0,1,8000-11000,12000,[847666436]
Mark Holden,M,963175454,2000-07-27,Freshman,School of Environmental and Biological Sciences,0,1,['RA' 'TS' 'SA'],Apartment,1,1,1,4000-6000,7000,[570371066]
Daniel Cruz,M,685423346,2003-01-10,Freshman,School of Environmental and Biological Sciences,0,1,['BS' 'JS' 'WS'],Apartment,1,1,1,6000-8000,9000,[896856684]
Micheal Francis,M,674806353,2003-04-18,Freshman,School of Environmental and Biological Sciences,0,1,['CS' 'WS' 'MS'],Apartment,1,1,1,4000-6000,7000,[469476848]
Daniel Lawson,M,441323217,2001-08-27,Freshman,School of Communication and Information,0,0,['BS' 'BH' 'WS'],Apartment,1,0,1,4000-6000,7000,"[930485618, 967077089]"
Edward Phillips,M,604930401,2005-03-05,Senior,School of Management and Labor Relations,0,0,['NCA' 'MS' 'MZH'],Apartment,1,1,1,8000-11000,12000,"[415540944, 613591153]"
Jeffrey Golden,M,501018462,2000-06-25,Freshman,School of Environmental and Biological Sciences,1,0,['BS' 'SA' 'MH'],Apartment,1,1,1,8000-11000,12000,"[671208479, 845387388]"
Jason Archer,M,236266068,2004-11-06,Sophomore,Mason Gross School of the Arts,0,1,['MH' 'NCA' 'RA'],Suite,1,1,1,8000-11000,12000,[313236201]
Francisco Henry,M,344667331,2003-07-19,Freshman,School of Arts and Sciences,0,0,['RA' 'AH' 'TS'],Suite,1,1,1,8000-11000,12000,"[685212876, 677745173]"
Patricia Gutierrez,F,572485534,2001-07-09,Sophomore,Rutgers Business School–Newark and New Brunswick,0,0,['SA' 'MS' 'RA'],Traditional Residence Hall,1,1,1,8000-11000,12000,[360673714]
Daniel Boone,M,962791202,2005-08-03,Junior,Mason Gross School of the Arts,0,0,['WS' 'RA' 'SA'],Traditional Residence Hall,1,1,1,4000-6000,7000,[113141719]
Sarah Griffin,F,683943194,2000-07-12,Freshman,School of Management and Labor Relations,0,0,['CS' 'AH' 'NCA'],Suite,1,1,1,8000-11000,12000,"[668694777, 150513153]"
James Waters,M,649236506,2004-01-06,Freshman,Rutgers Business School–Newark and New Brunswick,0,0,['CS' 'BH' 'MZH'],Traditional Residence Hall,1,0,1,4000-6000,7000,"[141384928, 312349783]"
Angela Hayes,F,265012646,2002-12-27,Junior,School of Social Work,0,0,['BS' 'NCA' 'TS'],Traditional Residence Hall,1,1,1,8000-11000,12000,[531342157]
Aaron Moran,M,880909298,2001-02-18,Senior,School of Arts and Sciences,0,0,['RA' 'BS' 'SA'],Apartment,1,1,1,4000-6000,7000,"[845134410, 941278799]"
Logan Kane,M,671187840,2005-02-12,Sophomore,Mason Gross School of the Arts,0,0,['NCA' 'MS' 'MRS'],Suite,1,1,1,8000-11000,12000,"[843272853, 776967790]"
Brett Brown,M,337730278,2005-01-08,Sophomore,School of Communication and Information,0,1,['NCA' 'MS' 'CS'],Apartment,1,1,1,8000-11000,12000,[887895723]
Thomas Henderson,M,468210818,2002-08-12,Freshman,School of Environmental and Biological Sciences,0,0,['SA' 'RA' 'MS'],Suite,1,1,1,4000-6000,7000,"[822247661, 725472783]"
Daniel Barron,M,528701579,2002-03-16,Junior,School of Arts and Sciences,0,0,['WS' 'BS' 'BH'],Apartment,1,1,1,4000-6000,7000,"[725939680, 770261941]"
Melissa Baird,F,101541349,1999-11-18,Junior,Edward J. Bloustein School of Planning and Public Policy,0,0,['SA' 'MH' 'NCA'],Suite,1,1,1,4000-6000,7000,"[757250034, 815883022]"
Lindsey Wong,F,204636246,2002-12-09,Freshman,School of Engineering,0,0,['NCA' 'CS' 'BS'],Suite,1,0,1,8000-11000,12000,"[842974174, 576970890]"
Tiffany Fletcher,F,837182896,2004-04-02,Freshman,School of Engineering,0,1,['NCA' 'RA' 'MS'],Suite,1,1,1,8000-11000,12000,"[855335584, 793514586]"
Kevin Peters,M,576970890,2000-03-28,Freshman,School of Arts and Sciences,0,0,['BS' 'MS' 'WS'],Suite,1,1,1,8000-11000,12000,[204636246]
Matthew Aguirre,M,945145090,2004-01-11,Sophomore,School of Arts and Sciences,0,0,['SA' 'RA' 'TS'],Traditional Residence Hall,1,1,1,8000-11000,12000,[149028192]
Mrs. Annette Jackson,F,147242941,2005-01-05,Sophomore,School of Communication and Information,0,0,['MS' 'BS' 'NCA'],Apartment,1,1,1,6000-8000,9000,"[488029867, 846929270]"
Tyler Woods,M,532678499,2002-01-15,Junior,Rutgers Business School–Newark and New Brunswick,0,1,['BS' 'NCA' 'MH'],Apartment,1,1,1,8000-11000,12000,"[695958021, 632118688]"
Ashley Ho,F,828842905,2005-03-27,Freshman,School of Arts and Sciences,0,0,['SA' 'NCA' 'MH'],Suite,1,1,1,6000-8000,9000,"[546797319, 130849184]"
Daniel Martin,M,778906789,2003-02-01,Freshman,School of Social Work,0,1,['TS' 'MRS' 'NCA'],Suite,1,1,1,6000-8000,9000,"[990946188, 165495109]"
Kyle Johnson,M,116807496,2003-05-16,Freshman,School of Engineering,0,1,['BS' 'MH' 'MZH'],Apartment,1,1,1,8000-11000,12000,[285376839]
Jeremiah Leblanc,M,616443712,2005-06-06,Sophomore,School of Engineering,0,0,['BS' 'TS' 'RA'],Traditional Residence Hall,1,0,1,8000-11000,12000,"[625397028, 246523164]"
Brittany Boyd,F,677086511,2001-05-16,Junior,School of Social Work,0,0,['SA' 'NCA' 'RA'],Suite,1,1,1,4000-6000,7000,"[142962695, 257142408]"
Danielle Payne,F,525282309,2001-10-11,Freshman,Rutgers Business School–Newark and New Brunswick,0,0,['MZH' 'BS' 'CS'],Apartment,1,1,1,8000-11000,12000,[967259162]
Melissa Wilson,F,609520356,2003-06-27,Junior,School of Arts and Sciences,0,0,['BS' 'TS' 'MZH'],Apartment,1,0,1,4000-6000,7000,[552442581]
Tom Pierce,M,802500076,2003-07-19,Freshman,School of Arts and Sciences,0,0,['MS' 'RA' 'MH'],Suite,1,1,1,8000-11000,12000,"[387703520, 822412687]"
Ronnie Davis,M,261479760,2005-08-21,Senior,School of Arts and Sciences,0,1,['MS' 'AH' 'BH'],Apartment,1,1,1,4000-6000,7000,"[491222892, 349963961]"
Thomas Knox,M,826635682,1999-12-09,Freshman,School of Communication and Information,1,0,['SA' 'MH' 'BS'],Suite,1,1,1,8000-11000,12000,[118631869]
James Farley,M,743141520,2000-04-28,Sophomore,School of Arts and Sciences,0,1,['AH' 'NCA' 'SA'],Suite,1,1,1,4000-6000,7000,[986593675]
Caitlin Williams,F,724532855,2003-12-05,Freshman,School of Engineering,0,0,['NCA' 'RA' 'BS'],Apartment,1,1,1,8000-11000,12000,[114084312]
Sara Powell,F,595706846,2005-03-13,Freshman,School of Management and Labor Relations,0,0,['BS' 'RA' 'MS'],Suite,1,1,1,8000-11000,12000,[495259583]
Rebecca Edwards,F,283550356,2000-09-30,Sophomore,School of Management and Labor Relations,0,0,['BS' 'MS' 'NCA'],Traditional Residence Hall,1,1,1,8000-11000,12000,"[561596641, 224400552]"
Danielle Richardson,F,814675140,2004-07-08,Sophomore,School of Arts and Sciences,0,0,['BS' 'CS' 'WS'],Suite,1,1,1,8000-11000,12000,[345144211]
Sarah Mata,F,195990859,1999-10-05,Freshman,School of Arts and Sciences,0,1,['MS' 'RA' 'SA'],Suite,1,1,1,6000-8000,9000,"[990877132, 490065426]"
Matthew Bridges,M,361610445,2000-12-13,Senior,School of Arts and Sciences,0,0,['CS' 'NCA' 'TS'],Suite,1,1,1,4000-6000,7000,"[227527804, 797605561]"
Michelle Brown,F,469029604,1999-10-18,Sophomore,Rutgers Business School–Newark and New Brunswick,0,0,['BS' 'JS' 'AH'],Traditional Residence Hall,1,1,1,4000-6000,7000,"[955624905, 324630388]"
Ashley Johnson,F,869474270,2005-06-12,Freshman,Edward J. Bloustein School of Planning and Public Policy,0,0,['NCA' 'AH' 'BH'],Apartment,1,1,1,6000-8000,9000,"[256936774, 463225424]"
Brian Perez,M,580147547,2002-01-29,Junior,School of Arts and Sciences,0,0,['MZH' 'RA' 'MRS'],Traditional Residence Hall,1,1,1,8000-11000,12000,"[565224372, 880189198]"
Bridget Jenkins,F,191588556,2003-04-27,Freshman,Edward J. Bloustein School of Planning and Public Policy,0,1,['CS' 'SA' 'BS'],Suite,1,1,1,6000-8000,9000,"[214797702, 238072123]"
Joseph Nguyen,M,900265580,2004-12-17,Sophomore,School of Arts and Sciences,0,0,['AH' 'SA' 'JS'],Traditional Residence Hall,1,1,0,8000-11000,12000,[156688256]
Anthony Perkins,M,763801719,1999-12-20,Freshman,School of Arts and Sciences,0,1,['BS' 'SA' 'MRS'],Suite,1,1,0,8000-11000,12000,"[354458979, 923624435]"
Paul Schmidt,M,384940220,2001-11-25,Freshman,School of Arts and Sciences,0,1,['MH' 'TS' 'AH'],Suite,1,1,1,8000-11000,12000,"[779019273, 732321962]"
Zachary Wallace,M,862540193,2000-11-13,Junior,Rutgers Business School–Newark and New Brunswick,0,0,['SA' 'NCA' 'BS'],Suite,1,1,1,8000-11000,12000,"[455428309, 654993279]"
Brian Pennington,M,682151911,2003-11-28,Sophomore,Rutgers Business School–Newark and New Brunswick,0,1,['MRS' 'WS' 'BS'],Apartment,1,0,1,8000-11000,12000,[693226667]
Jorge Bates,M,690700431,1999-11-21,Sophomore,School of Management and Labor Relations,0,0,['AH' 'BS' 'MH'],Suite,1,1,1,8000-11000,12000,"[402304429, 297817937]"
Jimmy Murphy,M,528424318,2002-12-15,Senior,School of Arts and Sciences,0,0,['NCA' 'SA' 'MS'],Apartment,1,1,1,8000-11000,12000,"[636061740, 312016214]"
Colleen Graves,F,108958584,2001-05-23,Sophomore,School of Communication and Information,0,0,['TS' 'AH' 'MS'],Traditional Residence Hall,1,1,1,8000-11000,12000,[964221217]
Norma Torres,F,203017422,2004-12-31,Junior,School of Arts and Sciences,0,1,['BS' 'NCA' 'MZH'],Suite,1,1,1,8000-11000,12000,[579216646]
Brenda Ramos,F,134859840,2002-06-10,Freshman,School of Arts and Sciences,0,0,['BS' 'NCA' 'RA'],Suite,1,1,1,8000-11000,12000,[480692774]
Robert Curry,M,833676339,2002-10-06,Freshman,Rutgers Business School–Newark and New Brunswick,0,0,['RA' 'BS' 'AH'],Apartment,1,1,1,6000-8000,9000,"[687712271, 432983368]"
Jason Gonzalez,M,398061104,2004-06-20,Junior,School of Arts and Sciences,0,1,['MRS' 'BH' 'MS'],Suite,1,1,1,8000-11000,12000,"[682118152, 267412471]"
James Dixon,M,259680876,2000-09-07,Senior,School of Arts and Sciences,0,0,['SA' 'MRS' 'BS'],Suite,1,1,1,8000-11000,12000,"[258861497, 304492556]"
Deborah Smith,F,868358319,2004-04-27,Junior,Edward J. Bloustein School of Planning and Public Policy,0,0,['AH' 'RA' 'MZH'],Apartment,1,1,1,8000-11000,12000,"[309577010, 805394878]"
Tina Gregory,F,776967790,2002-05-28,Senior,School of Management and Labor Relations,0,1,['BS' 'SA' 'MZH'],Apartment,1,1,1,6000-8000,9000,[671187840]
Michelle Stevens,F,226874837,2004-03-24,Freshman,School of Social Work,0,0,['NCA' 'TS' 'MZH'],Apartment,1,1,1,8000-11000,12000,[346480151]
Natalie Little,F,629974311,2003-12-19,Sophomore,School of Arts and Sciences,0,0,['BS' 'MH' 'TS'],Traditional Residence Hall,1,0,0,4000-6000,7000,"[181623578, 120759896]"
Linda Padilla,F,748688681,2001-12-10,Freshman,School of Arts and Sciences,0,1,['SA' 'CS' 'JS'],Suite,1,1,1,4000-6000,7000,"[662405082, 670529381]"
James Perez,M,471427292,2000-03-03,Sophomore,School of Arts and Sciences,0,1,['RA' 'AH' 'MS'],Apartment,1,1,1,8000-11000,12000,"[673633080, 858555206]"
Kelly Bradshaw,F,956681566,2003-10-10,Freshman,School of Arts and Sciences,0,1,['RA' 'MRS' 'BS'],Suite,1,1,1,8000-11000,12000,"[224577095, 445030960]"
Spencer Little,M,884377822,2002-01-22,Freshman,Edward J. Bloustein School of Planning and Public Policy,0,1,['BS' 'WS' 'BH'],Traditional Residence Hall,1,1,1,4000-6000,7000,"[281612642, 449065461]"
Mr. Danny Garrett,M,967259162,2004-05-02,Freshman,School of Arts and Sciences,0,0,['SA' 'BS' 'JS'],Suite,1,1,0,8000-11000,12000,"[710735811, 525282309]"
Joseph Griffith,M,565476254,2003-06-21,Junior,School of Arts and Sciences,0,1,['BS' 'MH' 'WS'],Apartment,1,1,1,8000-11000,12000,"[221270015, 335210631]"
Vickie Blair,F,653746662,2004-01-14,Freshman,School of Arts and Sciences,0,0,['AH' 'BS' 'WS'],Suite,1,1,1,4000-6000,7000,[597084011]
Erin Jones,F,390526351,2000-04-22,Junior,School of Arts and Sciences,0,1,['SA' 'AH' 'MZH'],Apartment,1,1,1,4000-6000,7000,"[263176934, 700609676]"
Kellie Eaton,F,573778388,2005-08-02,Freshman,Rutgers Business School–Newark and New Brunswick,0,1,['BS' 'CS' 'SA'],Apartment,1,0,1,6000-8000,9000,[134520041]
Cheryl Gordon,F,330275754,2001-03-15,Senior,Mason Gross School of the Arts,0,1,['MZH' 'MS' 'BS'],Apartment,1,1,1,8000-11000,12000,"[277272533, 757052759]"
Michael Jenkins,M,307930409,2000-12-24,Freshman,School of Arts and Sciences,0,0,['SA' 'TS' 'BS'],Apartment,1,1,1,4000-6000,7000,"[445041706, 975346360]"
Rachael Bowen,F,297412978,2003-11-30,Freshman,School of Communication and Information,0,1,['BS' 'BH' 'AH'],Apartment,1,1,1,8000-11000,12000,"[692417270, 305131180]"
Amy Collins,F,191946419,2002-05-31,Freshman,School of Arts and Sciences,0,1,['MZH' 'AH' 'BS'],Suite,1,0,1,8000-11000,12000,"[246380719, 374895362]"
Michael Hardy,M,660214353,2003-09-30,Junior,School of Engineering,0,1,['NCA' 'MRS' 'RA'],Traditional Residence Hall,1,1,1,4000-6000,7000,"[925398379, 191572168]"
Donald Duncan,M,207240858,2002-04-02,Sophomore,Mason Gross School of the Arts,1,0,['MZH' 'BS' 'BH'],Apartment,1,1,1,6000-8000,9000,[839063024]
Steven Young,M,742689489,2001-05-19,Sophomore,School of Environmental and Biological Sciences,0,0,['NCA' 'RA' 'TS'],Suite,1,1,1,8000-11000,12000,"[137928705, 263206545]"
John Herrera,M,231934046,2003-12-12,Freshman,School of Arts and Sciences,0,0,['NCA' 'WS' 'BS'],Traditional Residence Hall,1,1,1,6000-8000,9000,"[403559862, 896315703]"
Cheyenne Lloyd,F,633205221,2003-11-30,Senior,School of Arts and Sciences,1,0,['MS' 'BS' 'MRS'],Suite,1,1,1,4000-6000,7000,[619619714]
Maria Brown,F,331879763,2001-08-13,Sophomore,School of Arts and Sciences,0,0,['MH' 'BS' 'NCA'],Traditional Residence Hall,1,1,1,8000-11000,12000,"[321454666, 943562488]"
Darius Gaines,M,559206280,2004-03-02,Freshman,School of Arts and Sciences,0,0,['SA' 'NCA' 'BS'],Suite,1,1,1,6000-8000,9000,[353943187]
Frank Brennan MD,M,724368520,2002-07-01,Freshman,School of Arts and Sciences,0,0,['SA' 'RA' 'NCA'],Apartment,1,1,1,8000-11000,12000,[844716477]
Samantha Nguyen,F,957577168,2004-03-23,Freshman,School of Social Work,0,0,['SA' 'AH' 'TS'],Suite,1,1,1,8000-11000,12000,"[511942591, 246292891]"
Christopher Knight,M,869964826,2002-04-11,Junior,School of Communication and Information,0,1,['TS' 'MS' 'BS'],Apartment,1,1,1,8000-11000,12000,[694212164]
Mrs. Rose Smith,F,283917912,2000-11-12,Junior,School of Arts and Sciences,0,0,['SA' 'MZH' 'NCA'],Suite,1,1,1,8000-11000,12000,"[606219014, 454804972]"
Leslie Strickland,F,606923622,2005-02-20,Junior,School of Arts and Sciences,0,1,['JS' 'NCA' 'MS'],Apartment,1,1,1,8000-11000,12000,[281664818]
Phillip Barr,M,383982540,2002-10-20,Freshman,School of Arts and Sciences,0,0,['RA' 'NCA' 'WS'],Suite,1,1,1,8000-11000,12000,"[384482777, 722621556]"
Erin Thomas,F,956437869,2003-09-16,Freshman,School of Arts and Sciences,0,1,['WS' 'BS' 'RA'],Apartment,1,1,1,6000-8000,9000,"[978046965, 112256088]"
Hannah West,F,672481774,2004-02-17,Freshman,Edward J. Bloustein School of Planning and Public Policy,1,0,['BS' 'JS' 'NCA'],Apartment,1,0,0,8000-11000,12000,"[175676215, 193428414]"
Daniel Mcdonald,M,606524785,2001-03-16,Sophomore,School of Arts and Sciences,0,0,['SA' 'RA' 'BS'],Apartment,1,1,1,8000-11000,12000,"[957289830, 410737758]"
Kelsey Simon,F,463907427,2002-07-27,Freshman,Rutgers Business School–Newark and New Brunswick,0,1,['SA' 'RA' 'NCA'],Suite,1,1,1,6000-8000,9000,"[850172024, 154608278]"
Robert Richardson,M,834995132,2005-01-29,Freshman,School of Environmental and Biological Sciences,0,0,['TS' 'NCA' 'SA'],Suite,1,1,1,8000-11000,12000,"[861260554, 320472063]"
Debra Oneill,F,214303379,1999-12-22,Freshman,School of Engineering,0,1,['MH' 'SA' 'BS'],Suite,1,1,1,8000-11000,12000,"[867560449, 911343319]"
Andrew Preston,M,994175342,2004-11-21,Junior,School of Management and Labor Relations,0,1,['SA' 'NCA' 'MH'],Suite,1,0,1,8000-11000,12000,"[909939391, 954927368]"
John Hoffman II,M,479665689,2003-09-04,Freshman,Mason Gross School of the Arts,0,1,['SA' 'BS' 'RA'],Apartment,1,1,1,8000-11000,12000,"[367389892, 850643583]"
Brenda Sparks,F,782886784,2005-04-15,Junior,School of Social Work,0,1,['MZH' 'BS' 'RA'],Suite,1,1,1,6000-8000,9000,"[405988704, 381799424]"
Eric Anderson,M,622182385,2003-05-24,Sophomore,School of Arts and Sciences,0,1,['NCA' 'MH' 'BS'],Apartment,1,1,0,8000-11000,12000,[115146376]
Natasha Padilla,F,549175339,2004-10-31,Freshman,School of Management and Labor Relations,0,1,['AH' 'MRS' 'BS'],Apartment,1,1,1,4000-6000,7000,"[195679272, 365478886]"
Grace Santos,F,387216658,2003-07-08,Sophomore,School of Arts and Sciences,0,1,['RA' 'MZH' 'BS'],Apartment,1,1,1,8000-11000,12000,"[574155248, 978445954]"
Krystal Berger,F,126291598,2005-08-29,Sophomore,Mason Gross School of the Arts,0,0,['AH' 'MRS' 'BS'],Suite,1,0,1,6000-8000,9000,[639949870]
Jeremy Villa,M,501521481,2004-11-26,Freshman,School of Arts and Sciences,0,0,['BS' 'NCA' 'TS'],Suite,1,1,1,6000-8000,9000,[326752051]
Rhonda Harrell,F,765031792,2003-10-22,Sophomore,School of Arts and Sciences,0,0,['NCA' 'BS' 'MS'],Apartment,1,1,1,8000-11000,12000,[555615968]
Olivia Taylor,F,174460655,2001-12-18,Freshman,School of Arts and Sciences,0,0,['BS' 'WS' 'SA'],Suite,1,1,1,8000-11000,12000,"[163896181, 851207395]"
Meredith Page,F,255803359,2000-08-21,Freshman,Mason Gross School of the Arts,0,0,['CS' 'RA' 'WS'],Suite,1,1,1,8000-11000,12000,[334484499]
James Williams,M,731549383,2002-07-19,Senior,School of Arts and Sciences,0,0,['MZH' 'SA' 'MRS'],Suite,1,1,1,6000-8000,9000,"[488682687, 298995148]"
Scott Mitchell,M,998874036,2005-03-24,Freshman,Mason Gross School of the Arts,0,0,['RA' 'BS' 'AH'],Apartment,1,1,1,8000-11000,12000,[290282480]
Jesse Murray MD,M,497301544,2004-02-13,Freshman,School of Arts and Sciences,0,0,['BS' 'SA' 'RA'],Suite,1,1,1,8000-11000,12000,"[548472012, 827590477]"
Jessica Brown,F,799402134,2002-03-18,Freshman,School of Arts and Sciences,0,0,['MRS' 'TS' 'BS'],Apartment,1,1,1,6000-8000,9000,[233250867]
Adam Brown,M,620911383,2003-03-25,Sophomore,Mason Gross School of the Arts,0,1,['MH' 'BS' 'RA'],Apartment,1,1,1,4000-6000,7000,"[225922460, 788605737]"
Stephen Gilbert,M,873416668,2001-03-04,Junior,Mason Gross School of the Arts,1,0,['NCA' 'BH' 'SA'],Apartment,1,1,1,8000-11000,12000,[880848328]
Brian Dickson,M,501538424,1999-10-02,Freshman,School of Arts and Sciences,0,0,['NCA' 'MS' 'MZH'],Apartment,1,1,1,4000-6000,7000,[372647181]
Stacy Bates,F,163522694,2004-11-02,Freshman,School of Arts and Sciences,0,1,['MH' 'RA' 'NCA'],Suite,1,1,1,6000-8000,9000,"[469180110, 210745777]"
Scott Lin Jr.,M,666056377,2003-03-16,Freshman,School of Arts and Sciences,0,0,['JS' 'MS' 'NCA'],Apartment,1,1,1,4000-6000,7000,"[405883909, 668098417]"
Aaron Hurley,M,383167218,2001-04-11,Senior,Mason Gross School of the Arts,1,0,['SA' 'MS' 'BS'],Traditional Residence Hall,1,1,1,8000-11000,12000,"[377143169, 782031001]"
Cynthia Hall,F,122370856,2000-01-30,Freshman,Edward J. Bloustein School of Planning and Public Policy,0,0,['WS' 'JS' 'MH'],Suite,1,0,1,8000-11000,12000,[569396935]
Justin Briggs,M,717057580,2000-11-08,Sophomore,School of Arts and Sciences,0,1,['AH' 'NCA' 'BS'],Apartment,1,1,1,4000-6000,7000,"[224869646, 616442462]"
Howard Perez DDS,M,294707707,2000-12-05,Freshman,School of Arts and Sciences,0,1,['RA' 'BS' 'SA'],Apartment,1,1,1,8000-11000,12000,"[518750071, 363516624]"
Billy Williams,M,385152361,2001-06-26,Freshman,School of Social Work,1,0,['BS' 'SA' 'MZH'],Suite,1,1,1,4000-6000,7000,"[453781051, 883192000]"
Brian Farmer,M,864806367,2004-06-29,Junior,School of Arts and Sciences,0,0,['WS' 'BS' 'CS'],Apartment,1,1,1,4000-6000,7000,[235553690]
Michael Mitchell,M,522899128,2002-02-08,Junior,Mason Gross School of the Arts,0,0,['MS' 'MRS' 'SA'],Traditional Residence Hall,1,0,1,8000-11000,12000,[714959159]
Cheryl Griffin,F,866836711,2004-08-26,Junior,School of Arts and Sciences,0,0,['WS' 'MRS' 'TS'],Apartment,1,1,1,8000-11000,12000,"[590157437, 590948268]"
Jason Wilson,M,778972963,2003-08-19,Junior,Rutgers Business School–Newark and New Brunswick,0,1,['MS' 'MH' 'BS'],Traditional Residence Hall,1,1,1,6000-8000,9000,[532652407]
Mike Perez,M,523209293,2003-10-05,Junior,Rutgers Business School–Newark and New Brunswick,0,1,['BS' 'MH' 'SA'],Apartment,1,0,1,4000-6000,7000,"[365772700, 802906209]"
Michelle Mayer,F,390582247,2002-08-23,Sophomore,School of Arts and Sciences,0,1,['MS' 'JS' 'NCA'],Suite,1,1,1,8000-11000,12000,[933767622]
Christian Farley,M,361856645,2005-06-03,Sophomore,School of Arts and Sciences,0,0,['MS' 'BS' 'JS'],Apartment,1,1,1,6000-8000,9000,"[898511029, 376298427]"
Julie Clark,F,697552842,2003-09-29,Junior,School of Arts and Sciences,0,1,['SA' 'BS' 'CS'],Suite,1,1,1,8000-11000,12000,"[785059055, 142225583]"
Andrew Bridges,M,527082838,2000-03-27,Junior,School of Arts and Sciences,0,0,['AH' 'SA' 'BS'],Apartment,1,1,1,4000-6000,7000,"[716421014, 568713484]"
Virginia Hopkins,F,940877043,2000-04-14,Sophomore,School of Arts and Sciences,0,1,['NCA' 'JS' 'BH'],Suite,1,1,1,6000-8000,9000,"[730538857, 735930572]"
Robert Rogers,M,527316390,2003-11-13,Sophomore,Mason Gross School of the Arts,0,1,['BS' 'SA' 'MS'],Apartment,1,1,1,6000-8000,9000,"[525847473, 258774962]"
Andrew Williams,M,916310788,2003-03-17,Junior,School of Engineering,0,1,['RA' 'BS' 'MRS'],Apartment,1,0,1,6000-8000,9000,[544805718]
Matthew Smith,M,453813114,2001-07-12,Freshman,Rutgers Business School–Newark and New Brunswick,0,0,['BS' 'SA' 'CS'],Suite,1,1,1,4000-6000,7000,"[464385662, 489239928]"
Michelle Turner,F,380844098,2004-09-06,Freshman,Edward J. Bloustein School of Planning and Public Policy,0,0,['NCA' 'BS' 'MZH'],Apartment,1,1,1,4000-6000,7000,[729411793]
Christopher Sanders,M,409536445,2000-09-04,Junior,Edward J. Bloustein School of Planning and Public Policy,0,0,['BS' 'RA' 'BH'],Apartment,1,1,1,8000-11000,12000,"[882613041, 749074206]"
